gene_name,rna_mean_wt,rna_mean_mut,ribo_mean_wt,ribo_mean_mut,log2_TE_wt_mean,log2_TE_mut_mean,log2FC_TE,te_pvalue
0610009B22Rik,13.805576236666667,13.172167530000001,38.88653297333334,39.96787389,1.4904923101492953,1.5975975707345178,0.10710526058522252,0.619066097380421
0610010F05Rik,2.661991426666667,2.5291236,8.685318263333334,8.286668506666667,1.7294038846378637,1.7024867914625303,-0.026917093175333306,0.867023504733795
0610012G03Rik,27.62091135333333,26.447182236666666,16.554442993333335,17.581267729999997,-0.7410397519138008,-0.595667940083949,0.14537181182985182,0.5829313186106085
0610030E20Rik,2.54206132,2.43406716,1.8045364733333333,1.4983268699999999,-0.5403066441206151,-0.7912535470218502,-0.2509469029012351,0.6167652246237421
1110004F10Rik,60.896831399999996,60.36299641,492.99567028999996,439.91015304333337,3.0082788463410446,2.865477531396477,-0.14280131494456771,0.2982637578126379
1110008P14Rik,146.93245511666666,137.60996639666666,89.37460822999999,77.29755700666666,-0.7081310888685607,-0.8393148174374986,-0.1311837285689379,0.6182520526071561
1110032A03Rik,13.237314326666665,11.782661026666666,18.288061813333332,18.613358796666667,0.4612463133316349,0.6585808470758412,0.1973345337442063,0.16961356798796728
1110032F04Rik,5.500778556666667,5.390724293333332,3.27671528,4.49286268,-0.7667578550993376,-0.3500176373444693,0.4167402177548683,0.4459281100278561
1110038F14Rik,10.459971733333333,10.6382016,12.328574166666664,14.465489213333333,0.24330657309072298,0.44771913378350003,0.20441256069277705,0.19733292079709994
1110051M20Rik,38.53222188666666,38.677760093333326,127.32619441000001,137.42356700666667,1.7258336418447158,1.826925780557943,0.10109213871322731,0.23969880740122992
1110059E24Rik,6.570891366666667,6.6904010666666665,61.411469579999995,61.40211718999999,3.2226947460552164,3.1970544379999146,-0.02564030805530182,0.5545955020999733
1110059G10Rik,2.6892054900000004,2.492626656666667,19.66048148,19.181246623333333,2.861707162781112,2.9164449815373765,0.05473781875626438,0.8259260479927468
1110065P20Rik,33.46103945,30.37038176333333,14.382149066666665,17.12485651333333,-1.2640765216140855,-0.8711692766082203,0.39290724500586516,0.38974155277854994
1190005I06Rik,8.292234723333335,6.881160949999999,8.611581670000001,6.81137593,0.049872342085462866,0.0014337968884407155,-0.04843854519702215,0.8608334867848213
1190007I07Rik,4.014886373333333,4.0901252433333335,8.277115753333334,9.744675746666667,1.0472747952707042,1.2533900171101198,0.20611522183941555,0.3079321774069731
1500009L16Rik,10.35327679,9.168938053333333,45.66068225666667,30.893301253333334,2.1006057281494104,1.7464948596357244,-0.354110868513686,0.3175052303329543
1500011B03Rik,91.82660538333333,90.18239381666666,65.23801450333333,60.69923207666667,-0.49196406123036257,-0.5913776438225046,-0.099413582592142,0.6968557769243076
1600014C10Rik,8.642768583333334,9.064834216666668,16.478200153333333,17.797209013333333,0.9156833450625269,0.9694045252657438,0.05372118020321692,0.823950647750051
1700001L19Rik,7.559214803333333,7.706180513333333,13.247142396666666,13.233182523333333,0.8112447099758621,0.7800163651142077,-0.031228344861654378,0.8432706919398637
1700003E16Rik,11.575313306666667,11.690153966666665,2.684182736666667,2.519513346666667,-2.1064385857541548,-2.222999485024472,-0.1165608992703171,0.5549611056184076
1700007K13Rik,2.7017115166666663,2.649586053333333,0.87366642,0.93369655,-1.6775087893261464,-1.5015777187230774,0.175931070603069,0.664137557610468
1700016K19Rik,3.0842886566666663,2.7875503800000003,1.2781846766666665,0.9957149699999999,-1.2690375267543519,-1.4935816543528253,-0.22454412759847342,0.6027166439481403
