gene,rna_wt_rpkm,rna_mut_rpkm,log2fc_rna,pct_rna_change,te_wt,te_mut,log2fc_te,pct_te_change,p_te
Atf4,99.5,150.2,0.59,51.0,0.404,0.619,0.61,53.1,0.0038350177834365817
Ddit3,34.4,50.9,0.56,47.8,0.054,0.076,0.5,41.2,0.03743771474689088
Atf5,16.0,43.4,1.44,170.5,0.148,0.198,0.42,33.4,0.22350498258783846
Chac1,5.7,14.2,1.31,148.2,2.93,3.47,0.24,18.4,0.14642173645342382
Asns,58.6,93.1,0.67,58.9,1.572,1.7,0.11,8.2,0.5327337176272267
Mthfd2,5.0,11.4,1.19,127.8,0.699,0.649,-0.11,-7.1,0.4632156994235798
