elev_center_m,count
-3775.0,40115
-3725.0,35846
-3675.0,31336
-3625.0,28739
-3575.0,23383
-3525.0,20805
-3475.0,17148
-3425.0,15813
-3375.0,14774
-3325.0,12649
-3275.0,11571
-3225.0,10086
-3175.0,8399
-3125.0,7666
-3075.0,8056
-3025.0,10165
-2975.0,8151
-2925.0,7609
-2875.0,7131
-2825.0,5203
-2775.0,6207
-2725.0,12212
-2675.0,8465
-2625.0,5606
-2575.0,3598
-2525.0,3488
-2475.0,3162
-2425.0,3392
-2375.0,3305
-2325.0,2774
-2275.0,2905
-2225.0,2939
-2175.0,3639
-2125.0,3801
-2075.0,3278
-2025.0,3532
-1975.0,3349
-1925.0,3309
-1875.0,2561
-1825.0,2523
