lat,lon,elev_m,shoreline
53.7405777,-66.4827881,-3422,Arabia
53.7241554,-65.1100845,-3581,Arabia
53.8114967,-63.7213783,-3877,Arabia
53.4456406,-67.1581268,-3538,Arabia
53.5814629,-61.8680992,-3452,Arabia
53.4097939,-60.1318474,-3812,Arabia
53.5886765,-58.8042603,-3913,Arabia
53.4068642,-57.4379387,-4036,Arabia
53.2220688,-67.3047562,-3416,Arabia
53.1124382,-56.1483383,-3999,Arabia
52.8322716,-55.4852982,-3978,Arabia
52.0829582,-67.3038864,-2867,Arabia
52.1063919,-54.0355759,-3972,Arabia
51.9280777,-67.7668228,-3070,Arabia
51.5917892,-53.3482323,-3965,Arabia
51.4843788,-68.898056,-3478,Arabia
51.0508957,-69.5674362,-3538,Arabia
50.2779083,-70.1062851,-3473,Arabia
50.5174828,-52.5056419,-3941,Arabia
50.6638985,-51.0247765,-3994,Arabia
50.0365219,-70.4775391,-2857,Arabia
49.4196548,-80.4574203,-695,Arabia
49.5967445,-72.817215,-3117,Arabia
49.7313271,-71.6172104,-3293,Arabia
49.5362663,-49.9531136,-3934,Arabia
49.3404999,-79.7439728,-2918,Arabia
49.1008759,-73.7015228,-3315,Arabia
48.6131401,-81.274498,470,Arabia
48.7718239,-77.9793701,-2569,Arabia
48.5684128,-74.2911758,-2326,Arabia
48.6890526,-49.7363968,-3932,Arabia
48.334301,-76.7028732,-2814,Arabia
48.1674576,-75.3246689,-3134,Arabia
48.529686,-49.630127,-3921,Arabia
48.0794334,-81.8826675,-524,Arabia
47.5333977,-82.48909,1295,Arabia
46.8586311,-83.2081604,-519,Arabia
46.838913,-49.23703,-3872,Arabia
46.4987984,-49.1702995,-3889,Arabia
46.1481667,-49.1784897,-3829,Arabia
45.7898026,-49.2105713,-3828,Arabia
45.4734573,-84.605545,-795,Arabia
45.3746986,40.2089767,-324,Arabia
45.4944305,15.3018179,-3436,Arabia
45.076992,-49.3141861,-3786,Arabia
44.9163208,41.3704185,-2173,Arabia
44.8288422,39.0737991,-1960,Arabia
44.9218102,16.2089806,-3319,Arabia
44.3980865,-49.481884,-3740,Arabia
44.5216026,42.1431427,-2953,Arabia
44.3878098,37.9070358,-2750,Arabia
44.0657539,-85.841713,392,Arabia
44.0618706,43.1427727,-2711,Arabia
43.8519402,36.7967072,-3429,Arabia
43.6934814,-49.6421165,-3716,Arabia
43.7288742,43.9426956,-1613,Arabia
43.3628922,16.4778576,-3324,Arabia
43.1782494,-49.6299019,-3638,Arabia
43.355751,45.0042229,-995,Arabia
42.9453926,16.0713406,-2619,Arabia
42.8286018,-49.618721,-3675,Arabia
42.7799988,35.5615082,-1988,Arabia
42.6707687,15.7495518,-2714,Arabia
42.0606575,50.0194817,-1637,Arabia
42.4433746,46.0178719,-1539,Arabia
42.1848564,30.8211594,-3185,Arabia
42.3742943,29.7366066,-2783,Arabia
42.3095055,14.4541397,-3720,Arabia
41.969532,-49.6043282,-3733,Arabia
42.0098915,49.3675804,-1919,Arabia
41.8624496,48.3125954,-2293,Arabia
41.9317284,46.2341499,-872,Arabia
41.6665001,32.8312569,-3006,Arabia
41.8021812,31.8292713,-3048,Arabia
41.6769104,16.9419727,-3447,Arabia
41.6219101,-49.5636292,-3698,Arabia
41.5649567,50.646946,-2646,Arabia
41.5976372,46.9399948,-1784,Arabia
41.3968086,34.0839119,-1203,Arabia
41.5767403,29.3512402,-1185,Arabia
41.4076309,17.9549389,-2478,Arabia
41.6169281,16.531683,-3461,Arabia
41.3143234,14.0162563,-3190,Arabia
40.9295502,-49.4396095,-3675,Arabia
41.0614281,55.073658,-1159,Arabia
40.7842522,53.1073341,-2263,Arabia
40.8584023,52.1858673,-2341,Arabia
41.0074577,30.3067513,-1451,Arabia
41.1192017,27.1704178,-1660,Arabia
40.8201561,26.2894421,-2249,Arabia
41.109951,15.6437683,-3279,Arabia
40.9193878,14.658433,-2375,Arabia
40.9918709,5.1835718,-3545,Arabia
40.7581253,-49.4315338,-3678,Arabia
40.6823769,54.1350822,-2256,Arabia
40.7303848,52.036869,-856,Arabia
40.6216927,51.205368,-1693,Arabia
40.5124054,31.4233208,-1332,Arabia
40.4928513,27.4997635,-1849,Arabia
40.4155807,25.2242165,-1985,Arabia
40.7464638,4.1881337,-3774,Arabia
40.556076,3.1552706,-3682,Arabia
40.5541344,2.0613751,-3681,Arabia
40.4884987,1.0190396,-3403,Arabia
40.0570297,-134.1243896,-1569,Arabia
40.1762047,-137.339798,-2479,Arabia
40.0393982,55.4203453,-180,Arabia
40.1566544,27.7935867,-2456,Arabia
40.0662537,18.0248604,-3583,Arabia
40.0004463,-0.5088434,-3808,Arabia
39.6245079,-49.6263962,-3570,Arabia
39.8647804,55.402092,-248,Arabia
39.8555756,31.025753,-2073,Arabia
39.5803299,30.0978127,-3110,Arabia
39.7647324,24.875021,-2756,Arabia
39.648304,18.6503201,-3531,Arabia
39.7695656,-1.0443335,-3597,Arabia
39.218914,-49.929493,-3611,Arabia
39.3445702,29.7969456,-3307,Arabia
39.2388878,28.7124023,-2765,Arabia
39.0374794,21.1550369,-3071,Arabia
39.2626152,20.1962776,-2454,Arabia
39.4406967,-1.7246746,-3751,Arabia
38.8997383,-50.0987473,-3588,Arabia
39.0238991,29.0986423,-3195,Arabia
38.7613678,21.7365971,-1580,Arabia
38.8799629,-2.9397669,-3664,Arabia
38.7541847,-4.0138931,-3827,Arabia
38.4167824,-50.3129234,-3474,Arabia
38.5583992,23.9522648,-3416,Arabia
38.249115,22.7988911,-1773,Arabia
38.5217934,-4.7726421,-3854,Arabia
37.7728195,-50.6041069,-3464,Arabia
38.1715469,-5.2136607,-3801,Arabia
37.6780548,55.9173698,-670,Arabia
36.9344215,-50.7702065,-3478,Arabia
36.9499283,-5.2637086,-3804,Arabia
36.5278664,57.5204964,-2167,Arabia
36.6325798,56.5868797,-2472,Arabia
36.6426086,-5.4270058,-3405,Arabia
36.6732903,-7.4936924,-3688,Arabia
36.5424309,-10.1295567,-3809,Arabia
36.4647751,-10.9701223,-3888,Arabia
36.1320686,58.1542511,-2190,Arabia
36.2469902,-6.0362897,-3627,Arabia
36.4193153,-8.2334661,-3681,Arabia
36.3019333,-9.2089663,-3972,Arabia
36.3952599,-11.3470526,-3908,Arabia
36.0578003,-12.2494564,-3831,Arabia
35.7112656,-51.3810425,-3521,Arabia
35.9194145,-12.3636866,-3730,Arabia
35.4759521,-51.8907967,-3365,Arabia
35.441185,58.8245277,-2024,Arabia
34.8064766,-52.7039108,-3347,Arabia
34.7239761,-12.4732695,-3760,Arabia
34.4862823,59.2573471,-1040,Arabia
34.2531586,-52.2189293,-3382,Arabia
33.9006386,62.3398361,-1871,Arabia
33.8676224,59.6322021,-2193,Arabia
33.7559967,-51.7768059,-3410,Arabia
33.5594368,63.365757,-786,Arabia
33.847393,61.4595146,-1614,Arabia
33.5216827,60.6247711,-2157,Arabia
33.7772102,59.7921295,-2300,Arabia
33.4103889,-51.0300636,-3403,Arabia
33.1282005,71.4950027,64,Arabia
33.0560684,70.5878372,-1155,Arabia
33.0631447,64.1443481,-1159,Arabia
33.1045761,-12.6219854,-3650,Arabia
32.9702339,72.0230179,-105,Arabia
32.6071167,69.6738129,111,Arabia
32.9295845,66.9571686,-274,Arabia
32.756855,66.0508347,-493,Arabia
32.6200638,65.15168,-1002,Arabia
32.990654,64.3049088,-1176,Arabia
32.5615349,-13.2818298,-3583,Arabia
32.3080254,69.4508057,238,Arabia
32.3741264,-13.5820637,-3215,Arabia
32.0851936,73.0978317,50,Arabia
32.104538,68.4313583,-13,Arabia
31.403883,73.3230743,-2191,Arabia
31.5994339,68.5561447,53,Arabia
30.8524837,72.9833298,-1345,Arabia
30.9641514,68.8607254,-930,Arabia
31.138134,-15.4574203,-3881,Arabia
30.6168728,72.3268356,-1265,Arabia
30.7404556,68.5791779,-1005,Arabia
30.5833912,-16.3897972,-3297,Arabia
30.2884007,71.6345825,-918,Arabia
30.0775108,-17.323843,-3853,Arabia
29.854763,-17.5714684,-3754,Arabia
29.2311611,73.8697052,-1432,Arabia
29.1520596,73.0974884,-1958,Arabia
29.1507015,-18.1162815,-3647,Arabia
29.0457077,74.3369675,-2088,Arabia
28.7420063,72.3566437,-1766,Arabia
28.9821358,71.553093,-1111,Arabia
28.3696442,77.6101913,-1542,Arabia
28.5059509,76.5735931,-396,Arabia
28.3130112,75.7574158,-1020,Arabia
28.4228058,74.9108887,-2099,Arabia
28.3835983,-18.8068275,-3960,Arabia
28.0978832,-19.0022545,-3722,Arabia
27.5634518,-19.1602821,-3534,Arabia
27.0370026,-19.2317505,-3945,Arabia
26.1819878,77.133194,-268,Arabia
26.0112476,-18.9328957,-3598,Arabia
25.3456764,-18.6886883,-3392,Arabia
25.4769497,-19.8051929,-3524,Arabia
24.8072433,77.4292374,-740,Arabia
25.1857243,-19.1022892,-2853,Arabia
24.861515,-21.1482353,-3350,Arabia
24.5154629,-21.7061424,-3063,Arabia
24.3539162,-22.3686237,-3353,Arabia
24.1956558,-22.6504154,-3690,Arabia
23.5708599,-55.0130539,-1942,Arabia
23.5739231,-22.6784325,-3476,Arabia
23.4442959,77.0569534,-331,Arabia
22.895401,-54.9112434,-2024,Arabia
22.8546982,78.8373337,-829,Arabia
22.7629471,78.0717239,-943,Arabia
22.8125286,77.2788925,-462,Arabia
22.6327171,-23.4428787,-3073,Arabia
22.1801891,-54.862854,-1964,Arabia
22.0840111,-23.51054,-3189,Arabia
21.6344223,79.402977,-1332,Arabia
20.9868603,-54.602417,-2034,Arabia
20.8131638,-54.5540848,-1941,Arabia
20.847311,79.9786377,-1790,Arabia
20.3184109,-54.4221039,-2195,Arabia
20.3602581,-24.1237545,-4017,Arabia
19.7184391,80.0297394,-2753,Arabia
19.3555717,79.9335632,-2484,Arabia
19.2722073,-24.2671566,-3020,Arabia
18.3097477,79.8450241,-3480,Arabia
18.3472424,-24.4655552,-3117,Arabia
18.3338947,-25.550005,-2882,Arabia
18.2008839,-24.8065357,-3068,Arabia
17.7918491,79.7738419,-3597,Arabia
17.1620541,-52.9270668,-2245,Arabia
17.1304169,-25.8800411,-2920,Arabia
16.7629147,-26.1008053,-2807,Arabia
16.3244076,78.9852066,-3658,Arabia
15.775094,-52.155117,-2540,Arabia
15.4455662,-51.8135986,-2247,Arabia
14.9473314,-51.4314384,-2699,Arabia
14.6186867,-51.119236,-2110,Arabia
14.7244835,79.1699677,-3608,Arabia
14.142127,-50.2275658,-2498,Arabia
13.9072723,-50.0313683,-2113,Arabia
13.430234,-49.8568649,-2156,Arabia
13.5408659,79.647583,-3618,Arabia
12.806735,-48.7469978,-1610,Arabia
13.0461493,-48.1476631,-2145,Arabia
12.927104,-47.4976578,-2538,Arabia
13.1128654,79.8588409,-3900,Arabia
12.5514288,-47.2245941,-2693,Arabia
11.9198532,-46.8848686,-2611,Arabia
11.9303732,-44.0584335,-2572,Arabia
11.5402832,-46.6182632,-2373,Arabia
11.5852242,-45.6724777,-2466,Arabia
11.6661663,-43.6506081,-2805,Arabia
11.1991062,-46.5696869,-2152,Arabia
11.0758963,80.2059402,-3733,Arabia
10.7093544,79.82341,-3515,Arabia
10.1517773,79.3383713,-3206,Arabia
9.7845335,119.1794891,-1985,Arabia
9.8431463,79.3635712,-3137,Arabia
9.5009127,118.6016846,-1660,Arabia
9.4324083,79.6457291,-3401,Arabia
9.1504011,118.4753799,-1159,Arabia
8.8569908,111.1401291,-364,Arabia
8.9327965,80.4833984,-3664,Arabia
8.4840069,118.3291321,-377,Arabia
8.4635868,112.0339127,-370,Arabia
8.7861977,111.0274582,-368,Arabia
8.5575018,110.4253387,-272,Arabia
8.5202694,105.6902771,-600,Arabia
8.77281,98.8238144,-2522,Arabia
8.7016373,97.8565369,-2783,Arabia
8.4518509,97.2595062,-2909,Arabia
8.5158548,96.6291122,-3180,Arabia
7.9957161,119.3260727,-1315,Arabia
8.008626,118.1679916,66,Arabia
8.1096945,114.0067215,-1016,Arabia
8.3385372,112.2704926,-921,Arabia
8.0315084,109.5040894,-449,Arabia
8.2058134,107.1365128,156,Arabia
8.1153135,106.084259,-802,Arabia
8.0105972,105.3298111,-926,Arabia
8.295867,96.1676102,-3255,Arabia
7.974371,95.5915756,-3383,Arabia
7.8502488,118.1088562,33,Arabia
7.5839324,114.7774353,-527,Arabia
7.5898914,114.0508194,-739,Arabia
7.8338304,112.914505,-296,Arabia
7.8369818,108.9173126,-672,Arabia
7.6124935,108.3037643,-618,Arabia
7.8229046,107.546051,274,Arabia
7.8983765,106.2689743,-184,Arabia
7.709578,100.3097458,-2047,Arabia
7.8066959,99.6546402,-2159,Arabia
7.6315389,99.0483246,-2236,Arabia
7.905674,98.8408585,-1693,Arabia
7.5906868,80.9718475,-3659,Arabia
7.335547,117.3301163,-103,Arabia
7.0965061,116.7484818,-165,Arabia
7.2952142,115.2255249,-507,Arabia
7.3209968,113.9336395,-513,Arabia
7.4961495,107.9489594,-653,Arabia
7.1024919,100.5331573,-1828,Arabia
7.3676343,94.706398,-3471,Arabia
7.2141209,94.0587234,-3580,Arabia
7.420321,81.0221634,-3603,Arabia
6.8858047,116.4157944,-169,Arabia
7.0294633,115.8088455,-318,Arabia
7.023622,93.4590378,-3676,Arabia
6.8924618,92.8490143,-3731,Arabia
6.9232101,81.5462265,-3867,Arabia
6.2813759,119.1869507,-36,Arabia
6.3960752,100.4431534,-1232,Arabia
6.5339093,81.9596634,-3855,Arabia
5.8362412,106.11409,-975,Arabia
6.1546831,82.2131042,-3741,Arabia
5.6588993,106.1189728,-840,Arabia
5.4587021,100.8446274,-1025,Arabia
5.4740529,92.191864,-3482,Arabia
5.2097797,119.975853,23,Arabia
4.9237027,104.3623352,-1291,Arabia
5.2960787,101.2645264,-972,Arabia
5.1967645,82.4087296,-3696,Arabia
4.8776045,120.4060669,-855,Arabia
4.7299252,104.8050842,-1188,Arabia
4.8623581,104.1257477,-1301,Arabia
