lat_band,lat_center,n_points,elev_mean_m,elev_median_m,elev_std_m,elev_min_m,elev_max_m
-30 a -20,-25.0,21,-2223.285714285714,-2171.0,289.45641171982055,-2701.0,-1805.0
-20 a -10,-15.0,563,-1984.2788632326822,-1989.0,74.29937540715987,-2402.0,-1805.0
-10 a 0,-5.0,10003,-2742.5828251524545,-2881.0,325.6479223011813,-3196.0,-1801.0
0 a 10,5.0,60831,-2909.1014943038913,-2881.0,327.81833713657,-3800.0,-1800.0
10 a 20,15.0,71997,-3294.848813144992,-3498.0,525.0628784493424,-3800.0,-1800.0
20 a 30,25.0,49338,-3344.114840488062,-3592.0,565.385972909275,-3800.0,-1800.0
30 a 40,35.0,33035,-3429.2308158014225,-3623.0,466.9283969077898,-3800.0,-1800.0
40 a 50,45.0,48987,-3365.4907424418725,-3558.0,498.7428740611783,-3800.0,-1800.0
50 a 60,55.0,88047,-3196.725135439027,-3392.0,554.0006200911122,-3800.0,-1800.0
60 a 70,65.0,45868,-3484.9953126362607,-3509.0,206.02617712981336,-3800.0,-2708.0
