vehiculo_ice,vehiculo_bev,red_g_kwh,red_nombre,beneficio_pct,clase_ice,clase_bev,ice_es_hibrido
Toyota Prius Hybrid,Tesla Model 3,200,California,35,Carro,Carro,1
Toyota Prius Hybrid,Chevrolet Bolt EUV,200,California,34,Carro,Carro,1
Toyota Prius Hybrid,Ford Mustang Mach-E,200,California,20,Carro,SUV,1
Toyota Prius Hybrid,Tesla Model Y,200,California,32,Carro,SUV,1
Toyota Prius Hybrid,Rivian R1S,200,California,-16,Carro,SUV,1
Toyota Prius Hybrid,Ford F-150 Lightning,200,California,-13,Carro,Camioneta,1
Toyota Prius Hybrid,Rivian R1T,200,California,-15,Carro,Camioneta,1
Toyota Camry,Tesla Model 3,200,California,66,Carro,Carro,0
Toyota Camry,Chevrolet Bolt EUV,200,California,65,Carro,Carro,0
Toyota Camry,Ford Mustang Mach-E,200,California,57,Carro,SUV,0
Toyota Camry,Tesla Model Y,200,California,64,Carro,SUV,0
Toyota Camry,Rivian R1S,200,California,39,Carro,SUV,0
Toyota Camry,Ford F-150 Lightning,200,California,40,Carro,Camioneta,0
Toyota Camry,Rivian R1T,200,California,39,Carro,Camioneta,0
Toyota Camry Hybrid,Tesla Model 3,200,California,43,Carro,Carro,1
Toyota Camry Hybrid,Chevrolet Bolt EUV,200,California,41,Carro,Carro,1
Toyota Camry Hybrid,Ford Mustang Mach-E,200,California,29,Carro,SUV,1
Toyota Camry Hybrid,Tesla Model Y,200,California,39,Carro,SUV,1
Toyota Camry Hybrid,Rivian R1S,200,California,-3,Carro,SUV,1
Toyota Camry Hybrid,Ford F-150 Lightning,200,California,0,Carro,Camioneta,1
Toyota Camry Hybrid,Rivian R1T,200,California,-3,Carro,Camioneta,1
Honda Civic,Tesla Model 3,200,California,60,Carro,Carro,0
Honda Civic,Chevrolet Bolt EUV,200,California,60,Carro,Carro,0
Honda Civic,Ford Mustang Mach-E,200,California,51,Carro,SUV,0
Honda Civic,Tesla Model Y,200,California,58,Carro,SUV,0
Honda Civic,Rivian R1S,200,California,29,Carro,SUV,0
Honda Civic,Ford F-150 Lightning,200,California,31,Carro,Camioneta,0
Honda Civic,Rivian R1T,200,California,29,Carro,Camioneta,0
Chevrolet Equinox,Tesla Model 3,200,California,69,SUV,Carro,0
Chevrolet Equinox,Chevrolet Bolt EUV,200,California,68,SUV,Carro,0
Chevrolet Equinox,Ford Mustang Mach-E,200,California,61,SUV,SUV,0
Chevrolet Equinox,Tesla Model Y,200,California,67,SUV,SUV,0
Chevrolet Equinox,Rivian R1S,200,California,44,SUV,SUV,0
