P_ID_NUMBER,NAME,REGION,DEPOSIT_TYPE,COMMODITY,REMAINING_RESOURCE,PRODUCTION_CAPACITY,STATUS,DISCOVERY_YEAR,START_YEAR,DEVELOPMENT_PROBABILITY,GRADE,RECOVERY,BROWNFIELD_TONNAGE_FACTOR,BROWNFIELD_GRADE_FACTOR,VALUE_NET,VALUE_RECOVERY_NET,MINE_COST_MODEL,MINE_COST_A,MINE_COST_B,MINE_COST_C,MINE_COST_D,REVENUE_MODEL,REVENUE_A,REVENUE_B,REVENUE_C,REVENUE_D,COST_MODEL,COST_A,COST_B,COST_C,COST_D,LATITUDE,LONGITUDE,TERRESTRIAL_BIODIVERSITY_CARBON_VALUE,MARINE_BIODIVERSITY_50KM_VALUE
143,Heishan,30_100,Magmatic Sulphide,Ni,26960000,,0,,,0.1,0.005,0.7154183730350211,,,,,,,,,,,,,,,,,,,,41.38167,96.01278,89.0,
144,Hengjaya,0_10,Laterite,Ni,300000000,,1,,-9999,1.0,0.012199999999999999,0.7766082332842594,,,,,,,,,,,,,,,,,,,,-2.94009,122.23515,3.0,0.9562623023986816
145,Hinatuan,0_10,Laterite,Ni,9400000,,1,,-9999,1.0,0.012,0.773734779433061,,,,,,,,,,,,,,,,,,,,9.77447,125.71593,10.0,0.9214400185479058
146,Hitura,10_30,Magmatic Sulphide,Ni,4720000,,1,,-9999,1.0,0.00534,0.7207240885216705,,,,,,,,,,,,,,,,,,,,63.84917,25.04561,28.0,
147,Homeville,30_100,Laterite,Ni,17900000,,0,,,0.1,0.0089,0.7217817613820654,,,,,,,,,,,,,,,,,,,,-32.01484,147.04631,60.0,
148,Honeymoon Well,30_100,Magmatic Sulphide,Ni,176400000,,0,,,0.25,0.00683,0.7405717284348944,,,,,,,,,,,,,,,,,,,,-26.92306,120.37889,45.0,
149,Horden Lake,10_30,Magmatic Sulphide,Ni,27559296,,0,,,0.1,0.0022400000000000002,0.6506602869414269,,,,,,,,,,,,,,,,,,,,50.94033,-77.79725,13.0,0.3924812376499176
150,Huangshan Nan,30_100,Magmatic Sulphide,Ni,68067700,,0,,,0.25,0.0032,0.6794257644951416,,,,,,,,,,,,,,,,,,,,42.90641,93.50872,85.0,
151,Huili,30_100,Magmatic Sulphide,Ni,2477500,,1,,-9999,1.0,0.0111,0.7797365308758849,,,,,,,,,,,,,,,,,,,,26.46659,102.0499,50.0,
152,Hunters Road,30_100,Magmatic Sulphide,Ni,36437000,,0,,,0.1,0.0055000000000000005,0.72310504372606,,,,,,,,,,,,,,,,,,,,-19.154,29.771,54.0,
153,Hyvela,10_30,Magmatic Sulphide,Ni,230000,,0,,,0.1,0.00762,0.749398898274942,,,,,,,,,,,,,,,,,,,,61.54028,21.8175,26.0,0.7815276781717936
154,Imbasa,0_10,Magmatic Sulphide,Ni,68400000,,0,,,0.1,0.0003,0.4885196121390408,,,,,,,,,,,,,,,,,,,,-25.61925,27.68983,5.0,
155,Impala,0_10,Magmatic Sulphide,Ni,450800000,,1,,-9999,1.0,0.00086,0.5734550996009188,,,,,,,,,,,,,,,,,,,,-25.50676,27.21882,9.0,
156,Inkosi,0_10,Magmatic Sulphide,Ni,106300000,,0,,,0.1,0.0003,0.4885196121390408,,,,,,,,,,,,,,,,,,,,-25.662,27.681,7.0,
157,Irwin-Coglia,30_100,Laterite,Ni,17900000,,0,,,0.1,0.010700000000000001,0.7538017794506879,,,,,,,,,,,,,,,,,,,,-29.14276,123.05745,63.0,
158,Jacare,30_100,Laterite,Ni,306600000,,0,,,0.1,0.012809999999999998,0.7850899154234735,,,,,,,,,,,,,,,,,,,,-6.16667,-51.86667,35.0,
159,Jacobus,10_30,Magmatic Sulphide,Ni,958804,,0,,,0.1,0.004,0.6974220687650814,,,,,,,,,,,,,,,,,,,,49.850662,-87.757525,24.0,
160,Jacomynspan,30_100,Magmatic Sulphide,Ni,6836000,,0,,,0.1,0.005699999999999999,0.725985671369835,,,,,,,,,,,,,,,,,,,,-29.41272,21.82686,59.0,
161,Jaguar,30_100,Magmatic Sulphide,Ni,138200000,,0,,,0.1,0.0087,0.7600886535316199,,,,,,,,,,,,,,,,,,,,-6.49155,-51.19545,43.0,
162,Jejevo,0_10,Laterite,Ni,14423000,,0,,,0.1,0.01287,0.785902253350256,,,,,,,,,,,,,,,,,,,,-8.10355,159.17927,6.0,0.9296135902404785
163,Jericho,30_100,Magmatic Sulphide,Ni,98000000,,0,,,0.1,0.005600000000000001,0.7245582181763456,,,,,,,,,,,,,,,,,,,,-27.057475,120.447825,49.0,
164,Jianchaling,10_30,Magmatic Sulphide,Ni,51273000,,0,,,0.1,0.0055000000000000005,0.72310504372606,,,,,,,,,,,,,,,,,,,,33.25177,106.37009,18.0,
165,Jikodolong,0_10,Laterite,Ni,13560000,,0,,,0.1,0.0128,0.7849541559476164,,,,,,,,,,,,,,,,,,,,-1.4408,127.51921,9.0,0.9556753976004464
166,Jilin,30_100,Magmatic Sulphide,Ni,18461538,,1,,-9999,1.0,0.013000000000000001,0.7924794155650388,,,,,,,,,,,,,,,,,,,,42.89957,126.4274,68.0,
167,Jinbaoshan,0_10,Magmatic Sulphide,Ni,31241000,,1,,-9999,1.0,0.0017000000000000001,0.6284134526550362,,,,,,,,,,,,,,,,,,,,24.99985,100.75017,10.0,
168,Jinchuan,30_100,Magmatic Sulphide,Ni,520000000,,1,,-9999,1.0,0.01058,0.7758670175112887,,,,,,,,,,,,,,,,,,,,38.49053,102.14801,87.0,
169,Julimar,0_10,Magmatic Sulphide,Ni,654300000,,0,,,0.1,0.00147,0.616689842196488,,,,,,,,,,,,,,,,,,,,-31.52158,116.21078,8.0,0.9622290134429932
170,Junior Lake,10_30,Magmatic Sulphide,Ni,69116000,,0,,,0.1,0.00046,0.5229925444908187,,,,,,,,,,,,,,,,,,,,50.38169,-87.94799,12.0,
171,Kabanga,30_100,Magmatic Sulphide,Ni,83357245,,0,,,0.1,0.0209,0.8307715447569565,,,,,,,,,,,,,,,,,,,,-2.88889,30.54972,50.0,
172,Kalatongke,30_100,Magmatic Sulphide,Ni,27397382,,1,,-9999,1.0,0.005699999999999999,0.725985671369835,,,,,,,,,,,,,,,,,,,,46.75109,89.68172,81.0,
173,Kalgoorlie,10_30,Laterite,Ni,712000000,,0,,,0.1,0.00711,0.6827461574987406,,,,,,,,,,,,,,,,,,,,-30.14858,121.18658,30.0,
174,Kalia,30_100,Laterite,Ni,5712480000,,0,,,0.1,0.0001,0.3,,,,,,,,,,,,,,,,,,,,10.15809,-10.94726,43.0,
175,Kambalda West,10_30,Magmatic Sulphide,Ni,432500,,0,,,0.1,0.01926,0.8241810090784557,,,,,,,,,,,,,,,,,,,,-31.35806,121.50306,19.0,
176,Karikvavr-2,30_100,Magmatic Sulphide,Ni,11000000,,0,,,0.1,0.0063,0.7340573022189971,,,,,,,,,,,,,,,,,,,,68.92199,33.07958,35.0,0.8363085746765136
177,Kawasi,10_30,Laterite,Ni,147500000,,1,,-9999,1.0,0.0121,0.7751774433143676,,,,,,,,,,,,,,,,,,,,-1.57388,127.44134,17.0,0.9517004489898682
178,Kenbridge,30_100,Magmatic Sulphide,Ni,4459000,,0,,,0.1,0.0109,0.7782701450241447,,,,,,,,,,,,,,,,,,,,49.48357,-93.6347,34.0,
179,Kepha,0_10,Laterite,Ni,13500000,,0,,,0.1,0.01097,0.7581339648759912,,,,,,,,,,,,,,,,,,,,9.432,125.756,7.0,0.9304370880126953
180,Kevitsa,30_100,Magmatic Sulphide,Ni,279200000,,1,,-9999,1.0,0.0022,0.6492071124911414,,,,,,,,,,,,,,,,,,,,67.68559,26.97542,35.0,
181,Kildanga,0_10,Laterite,Ni,800000,,0,,,0.1,0.00873,0.7184290993289016,,,,,,,,,,,,,,,,,,,,-26.19516,152.27437,3.0,0.9707046747207642
182,Kingash,10_30,Magmatic Sulphide,Ni,592890000,,0,,,0.1,0.004,0.6974220687650814,,,,,,,,,,,,,,,,,,,,54.89897,95.46243,21.0,
183,Kivijarvi,10_30,Magmatic Sulphide,Ni,10000000,,0,,,0.1,0.0088,0.7610103664210993,,,,,,,,,,,,,,,,,,,,62.35209,31.00219,18.0,
184,Knox,10_30,Magmatic Sulphide,Ni,3100000,,1,,-9999,1.0,0.01265,0.7902783315816532,,,,,,,,,,,,,,,,,,,,44.2166,-69.266,30.0,0.8939038515090942
185,Kokogllave,30_100,Laterite,Ni,26400000,,0,,,0.1,0.012199999999999999,0.7766082332842594,,,,,,,,,,,,,,,,,,,,40.63161,21.005,43.0,
186,Kola Division,10_30,Magmatic Sulphide,Ni,438000000,,1,,-9999,1.0,0.0067,0.7390218847315084,,,,,,,,,,,,,,,,,,,,69.39995,30.73034,27.0,0.8542629241943359
187,Kolosori,10_30,Laterite,Ni,7076000,,1,,-9999,1.0,0.01584,0.8219982805233059,,,,,,,,,,,,,,,,,,,,-8.4507,159.73604,26.0,0.9278349876403809
188,Koniambo,0_10,Laterite,Ni,170000000,,1,,-9999,1.0,0.021,0.8710183880077548,,,,,,,,,,,,,,,,,,,,-20.97444,164.79285,8.0,0.9476148060389927
189,Kotalahti Production Centre,10_30,Magmatic Sulphide,Ni,1620000,,0,,,0.1,0.00728,0.7457176337413841,,,,,,,,,,,,,,,,,,,,63.02728,28.83304,26.0,
190,Krestovskoye,30_100,Laterite,Ni,2600000,,0,,,0.1,0.0129,0.7863070032420632,,,,,,,,,,,,,,,,,,,,56.03115,60.24644,33.0,
191,Kruidfontein,0_10,Magmatic Sulphide,Ni,148800000,,0,,,0.1,0.00132,0.6080095367600379,,,,,,,,,,,,,,,,,,,,-25.125,27.15,10.0,
192,Kuhmo,10_30,Magmatic Sulphide,Ni,11499060,,0,,,0.1,0.0039700000000000004,0.6968149216065109,,,,,,,,,,,,,,,,,,,,65.14917,29.07889,20.0,
193,Kulikovskoye,30_100,Laterite,Ni,20100000,,0,,,0.25,0.01015,0.7446282363959135,,,,,,,,,,,,,,,,,,,,53.56707,59.9399,66.0,
194,Kulymbinskaya,30_100,Magmatic Sulphide,Ni,18000000,,0,,,0.1,0.0165,0.8117070261948544,,,,,,,,,,,,,,,,,,,,68.07065,89.3416,40.0,
195,Kungurskoye,30_100,Laterite,Ni,1734000,,0,,,0.1,0.01072,0.7541264107308343,,,,,,,,,,,,,,,,,,,,56.84333,59.88072,37.0,
196,Kun-Manie,30_100,Magmatic Sulphide,Ni,196600000,,0,,,0.1,0.0068000000000000005,0.7402167065849943,,,,,,,,,,,,,,,,,,,,55.35,132.41,38.0,
197,Kureisko-Gorbiachinskaya,10_30,Magmatic Sulphide,Ni,35000000,,0,,,0.1,0.00771,0.7503458641448786,,,,,,,,,,,,,,,,,,,,67.44026,88.43678,26.0,
198,Kylylahti,10_30,Magmatic Sulphide,Ni,500000,,1,,-9999,1.0,0.0025,0.6595167460700421,,,,,,,,,,,,,,,,,,,,62.85665,29.3375,27.0,
199,La Sampala,10_30,Laterite,Ni,162000000,,0,,,0.1,0.016200000000000003,0.8259049617846279,,,,,,,,,,,,,,,,,,,,-2.70389,121.92778,11.0,0.9529709815979004
200,Lac des Iles,10_30,Magmatic Sulphide,Ni,492000000,,1,,-9999,1.0,0.0007000000000000001,0.5568533372814085,,,,,,,,,,,,,,,,,,,,49.15774,-89.61886,26.0,
201,Lac Pegma,30_100,Magmatic Sulphide,Ni,2000000,,0,,,0.1,0.0034999999999999996,0.6866528954813061,,,,,,,,,,,,,,,,,,,,52.37908,-66.76639,37.0,
202,Lac Rocher,10_30,Magmatic Sulphide,Ni,1238380,,0,,,0.1,0.0095,0.7671832471009385,,,,,,,,,,,,,,,,,,,,50.65242,-76.23167,13.0,
203,Lainejaur,10_30,Magmatic Sulphide,Ni,460000,,0,,,0.1,0.022000000000000002,0.834908297656018,,,,,,,,,,,,,,,,,,,,65.24303,18.98023,23.0,
204,Lake Aulneau,30_100,Magmatic Sulphide,Ni,2289000,,0,,,0.1,0.00477,0.7116204819790235,,,,,,,,,,,,,,,,,,,,56.97861,-68.56167,34.0,
205,Lake Johnston,0_10,Magmatic Sulphide,Ni,3500000,,0,,,0.25,0.0149,0.8034808952984417,,,,,,,,,,,,,,,,,,,,-32.20749,120.49155,5.0,
206,Lake Lovno,10_30,Magmatic Sulphide,Ni,9660000,,0,,,0.1,0.0088,0.7610103664210993,,,,,,,,,,,,,,,,,,,,68.48026,30.05755,22.0,
207,Lanfranchi,10_30,Magmatic Sulphide,Ni,5655000,,1,,-9999,1.0,0.01688,0.813543332007018,,,,,,,,,,,,,,,,,,,,-31.505,121.834,21.0,
208,Langmuir,10_30,Magmatic Sulphide,Ni,10312000,,0,,,0.1,0.00455,0.7078123110463449,,,,,,,,,,,,,,,,,,,,48.33636,-81.0337,26.0,
209,Langmuir 2,10_30,Magmatic Sulphide,Ni,231336,,0,,,0.1,0.012,0.7860240512338756,,,,,,,,,,,,,,,,,,,,48.34222,-81.00194,26.0,
210,Lansdowne House,10_30,Magmatic Sulphide,Ni,13245120,,0,,,0.1,0.0037,0.6911345484070905,,,,,,,,,,,,,,,,,,,,52.5,-87.51667,15.0,
211,Lantinen Koillismaa,10_30,Magmatic Sulphide,Ni,87900000,,0,,,0.1,0.00126,0.6042577440190995,,,,,,,,,,,,,,,,,,,,65.94479,28.1728,22.0,
212,Lappvattnet,10_30,Magmatic Sulphide,Ni,37580000,,0,,,0.1,0.00214,0.646977044140867,,,,,,,,,,,,,,,,,,,,64.50455,20.83526,28.0,0.7941335837046305
213,Larco,10_30,Laterite,Ni,300000000,,1,,-9999,1.0,0.00826,0.7088086577306321,,,,,,,,,,,,,,,,,,,,38.65722,23.57806,11.0,0.9130806393093533
214,Larkin's Find,30_100,Laterite,Ni,5200000,,0,,,0.1,0.008,0.7032487250395377,,,,,,,,,,,,,,,,,,,,-29.46889,122.25806,61.0,
215,Las Aguilas,30_100,Magmatic Sulphide,Ni,4602800,,0,,,0.1,0.0040999999999999995,0.6994135032778821,,,,,,,,,,,,,,,,,,,,-33.12293,-66.1422,56.0,
216,Las Camariocas/Cupey,0_10,Laterite,Ni,107000000,,0,,,0.1,0.0132,0.7903035010902448,,,,,,,,,,,,,,,,,,,,20.61869,-74.78218,6.0,0.8493239879608154
217,Lavoie Lake,10_30,Magmatic Sulphide,Ni,13200000,,0,,,0.1,0.0037,0.6911345484070905,,,,,,,,,,,,,,,,,,,,52.47,-87.58611,12.0,
218,Leeuwkop,0_10,Magmatic Sulphide,Ni,136500000,,0,,,0.1,0.0003,0.4885196121390408,,,,,,,,,,,,,,,,,,,,-25.62455,27.60533,9.0,
219,Leinster,30_100,Magmatic Sulphide,Ni,600000,,0,,,0.1,0.0139,0.7978780179033036,,,,,,,,,,,,,,,,,,,,-28.1646,120.91717,59.0,
220,Lesego,10_30,Magmatic Sulphide,Ni,204160000,,0,,,0.1,0.00207,0.6442948824634285,,,,,,,,,,,,,,,,,,,,-24.38972,29.74944,17.0,
221,Libjo,10_30,Laterite,Ni,19400000,,0,,,0.1,0.00886,0.7209986969949326,,,,,,,,,,,,,,,,,,,,10.1736,125.51778,11.0,0.9276100397109985
222,Libjo,10_30,Laterite,Ni,9067000,,1,,-9999,1.0,0.010700000000000001,0.7538017794506879,,,,,,,,,,,,,,,,,,,,10.19,125.58,20.0,0.9054279327392578
223,Lockerby East,30_100,Magmatic Sulphide,Ni,30503000,,0,,,0.1,0.00458,0.7083423173349946,,,,,,,,,,,,,,,,,,,,46.43266,-81.30323,37.0,
224,Loji,10_30,Laterite,Ni,63630000,,1,,-9999,1.0,0.012,0.773734779433061,,,,,,,,,,,,,,,,,,,,-1.57734,127.43873,17.0,0.9517004489898682
225,Loma de Niquel,0_10,Laterite,Ni,12000000,,1,,-9999,1.0,0.0139,0.7992861634032695,,,,,,,,,,,,,,,,,,,,10.15,-67.11778,9.0,0.9092185497283936
226,Long Complex,30_100,Magmatic Sulphide,Ni,1366000,,1,,-9999,1.0,0.040999999999999995,0.885114688442759,,,,,,,,,,,,,,,,,,,,-31.189074,121.689737,69.0,
227,Longchangren,10_30,Magmatic Sulphide,Ni,10730000,,0,,,0.1,0.0044,0.7051087394561203,,,,,,,,,,,,,,,,,,,,42.85833,128.97917,30.0,
228,Loveland,10_30,Magmatic Sulphide,Ni,1100000,,0,,,0.1,0.0054,0.7216252040416086,,,,,,,,,,,,,,,,,,,,48.66867,-81.72982,13.0,
229,Loveland,10_30,Magmatic Sulphide,Ni,990646,,0,,,0.1,0.00536,0.7210255804615687,,,,,,,,,,,,,,,,,,,,48.66136,-81.62469,20.0,
230,Luanga,30_100,Magmatic Sulphide,Ni,191200000,,0,,,0.1,0.001,0.5856188148351232,,,,,,,,,,,,,,,,,,,,-5.93819,-49.55793,53.0,
231,Lubalisi,10_30,Laterite,Ni,111705487,,0,,,0.1,0.008199999999999999,0.7075412888122479,,,,,,,,,,,,,,,,,,,,-5.90009,30.0922,14.0,
232,Lucky Break,10_30,Laterite,Ni,1132000,,0,,,0.1,0.00754,0.6929540315562482,,,,,,,,,,,,,,,,,,,,-19.47241,145.69095,30.0,
233,Lynn Lake,10_30,Magmatic Sulphide,Ni,16321000,,0,,,0.1,0.0072,0.7448264755027724,,,,,,,,,,,,,,,,,,,,56.82115,-101.03294,12.0,
234,Maba,0_10,Laterite,Ni,114000000,,0,,,0.1,0.017,0.8342844151646477,,,,,,,,,,,,,,,,,,,,0.70705,128.0939,4.0,0.9623481962415907
235,Madziwa,30_100,Magmatic Sulphide,Ni,916000,,1,,-9999,1.0,0.0063,0.7340573022189971,,,,,,,,,,,,,,,,,,,,-17.065,31.656,56.0,
236,Mafeking,30_100,Magmatic Sulphide,Ni,247500000,,0,,,0.1,3e-05,0.302818426974164,,,,,,,,,,,,,,,,,,,,-27.34448,117.90149,42.0,
237,Magogaphate,30_100,Magmatic Sulphide,Ni,2380000,,0,,,0.1,0.0072,0.7448264755027724,,,,,,,,,,,,,,,,,,,,-21.75448,28.33698,49.0,
238,Makwa Mayville,10_30,Magmatic Sulphide,Ni,54090526,,0,,,0.1,0.00232,0.6534903667928859,,,,,,,,,,,,,,,,,,,,50.6298,-95.60953,18.0,
239,Mambare,0_10,Laterite,Ni,162544000,,0,,,0.1,0.009399999999999999,0.7312835798176477,,,,,,,,,,,,,,,,,,,,-8.78167,147.74556,8.0,0.9702967405319214
240,Manicani,10_30,Laterite,Ni,38200000,,0,,,0.1,0.012350000000000002,0.7787325774386968,,,,,,,,,,,,,,,,,,,,10.993,125.64,19.0,0.8957687020301819
241,Manitoba Division,0_10,Magmatic Sulphide,Ni,25900000,,1,,-9999,1.0,0.0197,0.8260027271892365,,,,,,,,,,,,,,,,,,,,55.70728,-97.88904,2.0,
242,Manticao,10_30,Laterite,Ni,1059600,,0,,,0.1,0.01044,0.749525461647804,,,,,,,,,,,,,,,,,,,,8.3594,124.3953,20.0,0.9333939552307129
243,Mantymaki,30_100,Magmatic Sulphide,Ni,260000,,0,,,0.1,0.007019999999999999,0.7427846196066473,,,,,,,,,,,,,,,,,,,,61.31528,22.80083,46.0,0.7727589011192322
244,Mareesburg 8 JT,0_10,Magmatic Sulphide,Ni,15890000,,0,,,0.1,0.0006900000000000001,0.5556928999946341,,,,,,,,,,,,,,,,,,,,-25.01982,30.14668,1.0,
245,Marlborough,10_30,Laterite,Ni,20000000,,0,,,0.1,0.011000000000000001,0.7586087216571837,,,,,,,,,,,,,,,,,,,,-22.94806,149.83111,18.0,0.9237848917643229
246,Marriott,30_100,Magmatic Sulphide,Ni,584000,,0,,,0.1,0.0118,0.7846685739487779,,,,,,,,,,,,,,,,,,,,-28.45123,120.991434,51.0,
247,Marula,0_10,Magmatic Sulphide,Ni,117900000,,1,,-9999,1.0,0.00109,0.5925689598592679,,,,,,,,,,,,,,,,,,,,-24.51093,30.10813,7.0,
248,Maslovskoe,10_30,Magmatic Sulphide,Ni,207113100,,0,,,0.1,0.0034000000000000002,0.6843150796200154,,,,,,,,,,,,,,,,,,,,69.25502,88.15068,25.0,
249,Massey-Whitesides,10_30,Magmatic Sulphide,Ni,385000,,0,,,0.1,0.01,0.77132,,,,,,,,,,,,,,,,,,,,48.4522,-81.82025,13.0,
250,Maturi,30_100,Magmatic Sulphide,Ni,2201700000,,0,,,0.1,0.0017499999999999998,0.6307512685163271,,,,,,,,,,,,,,,,,,,,47.80151,-91.74651,36.0,
251,Maude Lake,10_30,Magmatic Sulphide,Ni,185000,,0,,,0.1,0.0049,0.7137890448925703,,,,,,,,,,,,,,,,,,,,48.89474,-87.30561,27.0,
252,Mayaniquel,30_100,Laterite,Ni,111675000,,0,,,0.1,0.0138,0.7980309954955586,,,,,,,,,,,,,,,,,,,,15.44143,-89.64664,42.0,0.8861019611358643
253,McBride,10_30,Magmatic Sulphide,Ni,5100000,,0,,,0.1,0.006979999999999999,0.7423237669240522,,,,,,,,,,,,,,,,,,,,44.8714,-77.72421,19.0,
254,McWatters,10_30,Magmatic Sulphide,Ni,458548,,1,,-9999,1.0,0.006999999999999999,0.7425545224462852,,,,,,,,,,,,,,,,,,,,48.31012,-81.03651,26.0,
255,Mel,0_10,Magmatic Sulphide,Ni,5289000,,0,,,0.1,0.00868,0.7599030401010123,,,,,,,,,,,,,,,,,,,,55.96923,-97.78174,7.0,
256,Menarik East,10_30,Magmatic Sulphide,Ni,7400000,,0,,,0.1,0.00054,0.5359240188767318,,,,,,,,,,,,,,,,,,,,53.41247,-77.26194,15.0,
257,Mesaba,30_100,Magmatic Sulphide,Ni,2946900000,,0,,,0.1,0.00096,0.5823265617990593,,,,,,,,,,,,,,,,,,,,47.64812,-91.87293,38.0,
258,Mhondoro,30_100,Magmatic Sulphide,Ni,96000000,,1,,-9999,1.0,0.00247,0.6585431044660794,,,,,,,,,,,,,,,,,,,,-18.33806,30.3334,56.0,
259,Milestone,10_30,Magmatic Sulphide,Ni,453592,,0,,,0.1,0.001,0.5856188148351232,,,,,,,,,,,,,,,,,,,,47.03752,-79.82852,27.0,
260,Minago,0_10,Magmatic Sulphide,Ni,52640000,,0,,,0.1,0.0074399999999999996,0.7474709419236237,,,,,,,,,,,,,,,,,,,,54.11277,-99.16678,2.0,
261,Mindoro,0_10,Laterite,Ni,344700000,,0,,,0.1,0.0086,0.7158209488485399,,,,,,,,,,,,,,,,,,,,13.05333,121.13833,8.0,0.9355900287628174
262,Miriam,0_10,Magmatic Sulphide,Ni,230000,,0,,,0.1,0.017,0.814114637819913,,,,,,,,,,,,,,,,,,,,-31.05194,121.10314,9.0,
263,Mirror Harbor,10_30,Magmatic Sulphide,Ni,734600,,0,,,0.1,0.002,0.6415204418001024,,,,,,,,,,,,,,,,,,,,57.78501,-136.30894,24.0,0.9107498526573181
264,Mjovattnet,10_30,Magmatic Sulphide,Ni,170000,,0,,,0.1,0.0129,0.7918566402696109,,,,,,,,,,,,,,,,,,,,64.5349,21.00444,28.0,0.7941335837046305
265,Moa Bay,0_10,Laterite,Ni,194700000,,1,,-9999,1.0,0.0104,0.7488581287745663,,,,,,,,,,,,,,,,,,,,20.60979,-74.93079,8.0,0.8493239879608154
266,Mokopane,0_10,Magmatic Sulphide,Ni,39740000,,0,,,0.1,0.00146,0.6161393349395253,,,,,,,,,,,,,,,,,,,,-24.08297,28.95942,8.0,
267,Monchetundra,30_100,Magmatic Sulphide,Ni,134940000,,0,,,0.1,0.00245,0.6578874179275914,,,,,,,,,,,,,,,,,,,,67.90437,32.75207,37.0,0.7784829139709473
268,Montcalm,10_30,Magmatic Sulphide,Ni,2800000,,1,,-9999,1.0,0.0126,0.7899589291839761,,,,,,,,,,,,,,,,,,,,48.66432,-82.094,24.0,
269,Montes Claros,30_100,Laterite,Ni,159138000,,0,,,0.25,0.008100000000000001,0.7054082559160869,,,,,,,,,,,,,,,,,,,,-16.00644,-51.39837,36.0,
270,Morowali,10_30,Laterite,Ni,27000000,,0,,,0.25,0.0167,0.8311892592183588,,,,,,,,,,,,,,,,,,,,-2.71,121.955,11.0,0.9529709815979004
271,Morro do Engenho,10_30,Laterite,Ni,36000000,,0,,,0.1,0.011699999999999999,0.7693335316930721,,,,,,,,,,,,,,,,,,,,-15.53039,-51.67196,19.0,
272,Morro Sem Bone,10_30,Laterite,Ni,47000000,,0,,,0.1,0.0176,0.8403141525652624,,,,,,,,,,,,,,,,,,,,-13.19779,-60.29933,16.0,
273,Mount Margaret,30_100,Laterite,Ni,305000000,,0,,,0.1,0.006889999999999999,0.6772821648547597,,,,,,,,,,,,,,,,,,,,-28.31389,120.98611,52.0,
274,Mphahlele's Location,0_10,Magmatic Sulphide,Ni,116266667,,0,,,0.1,0.00154,0.6204416349374264,,,,,,,,,,,,,,,,,,,,-24.32333,29.60417,10.0,
275,Mt Edwards,10_30,Magmatic Sulphide,Ni,15123909,,0,,,0.1,0.012589999999999999,0.7898948966280122,,,,,,,,,,,,,,,,,,,,-31.441082,121.547732,14.0,
276,Mt Jewell,30_100,Magmatic Sulphide,Ni,86000,,0,,,0.1,0.02,0.827221626964979,,,,,,,,,,,,,,,,,,,,-30.18028,121.45611,36.0,
277,Mt Sholl,30_100,Magmatic Sulphide,Ni,23400000,,0,,,0.1,0.00359,0.6887005118145609,,,,,,,,,,,,,,,,,,,,-20.91229,116.89205,42.0,0.9580362637837728
278,Mt Slopeaway,10_30,Laterite,Ni,4000000,,0,,,0.1,0.01,0.7420399999999999,,,,,,,,,,,,,,,,,,,,-22.77348,149.86326,16.0,0.9237848917643229
279,Mt Thirsty,0_10,Laterite,Ni,66300000,,0,,,0.1,0.0043,0.595324242979999,,,,,,,,,,,,,,,,,,,,-32.102,121.64513,9.0,
280,Munali,30_100,Magmatic Sulphide,Ni,5845000,,1,,-9999,1.0,0.01024,0.77323271415516,,,,,,,,,,,,,,,,,,,,-15.92333,28.13444,60.0,
281,Munni Munni,30_100,Magmatic Sulphide,Ni,23600000,,0,,,0.1,0.0009,0.5771215946078353,,,,,,,,,,,,,,,,,,,,-21.11859,116.82717,46.0,0.966494083404541
282,Murchison,30_100,Magmatic Sulphide,Ni,40400000,,0,,,0.1,0.00029,0.4857854858979488,,,,,,,,,,,,,,,,,,,,-27.15456,118.9554,50.0,
283,Murrin Murrin,30_100,Laterite,Ni,220000000,,1,,-9999,1.0,0.0116,0.7678413336897606,,,,,,,,,,,,,,,,,,,,-28.76913,121.89354,42.0,
284,Musongati,30_100,Laterite,Ni,213800000,,0,,,0.1,0.01349,0.7940813642649015,,,,,,,,,,,,,,,,,,,,-3.74421,30.24679,51.0,
285,Mwetaung,30_100,Laterite,Ni,10000000,,0,,,0.1,0.015,0.8125260543935232,,,,,,,,,,,,,,,,,,,,23.41568,94.01314,44.0,
286,Nakety/Moneo,30_100,Laterite,Ni,251800000,,0,,,0.1,0.015309999999999999,0.816082126922877,,,,,,,,,,,,,,,,,,,,-21.52982,166.09944,31.0,0.9309326410293579
287,Nemeiben Lake,10_30,Magmatic Sulphide,Ni,7000000,,0,,,0.1,0.00424,0.7021213979363717,,,,,,,,,,,,,,,,,,,,55.3166,-105.1674,29.0,
288,Nepean,0_10,Magmatic Sulphide,Ni,236000,,0,,,0.1,0.015,0.8040203555038155,,,,,,,,,,,,,,,,,,,,-31.09885,121.09416,9.0,
289,New Morning,0_10,Magmatic Sulphide,Ni,275000,,0,,,0.1,0.056100000000000004,0.9104032909797465,,,,,,,,,,,,,,,,,,,,-32.45306,119.68,7.0,
290,Nicaro,0_10,Laterite,Ni,60000000,,1,,-9999,1.0,0.011399999999999999,0.7648179531367292,,,,,,,,,,,,,,,,,,,,20.69094,-75.54839,9.0,0.8828627586364746
291,Nickel Island,10_30,Magmatic Sulphide,Ni,8477000,,0,,,0.1,0.008199999999999999,0.7553151302428612,,,,,,,,,,,,,,,,,,,,53.9363,-94.77036,17.0,
