P_ID_NUMBER,NAME,REGION,DEPOSIT_TYPE,COMMODITY,REMAINING_RESOURCE,PRODUCTION_CAPACITY,STATUS,DISCOVERY_YEAR,START_YEAR,DEVELOPMENT_PROBABILITY,GRADE,RECOVERY,BROWNFIELD_TONNAGE_FACTOR,BROWNFIELD_GRADE_FACTOR,VALUE_NET,VALUE_RECOVERY_NET,MINE_COST_MODEL,MINE_COST_A,MINE_COST_B,MINE_COST_C,MINE_COST_D,REVENUE_MODEL,REVENUE_A,REVENUE_B,REVENUE_C,REVENUE_D,COST_MODEL,COST_A,COST_B,COST_C,COST_D,LATITUDE,LONGITUDE,TERRESTRIAL_BIODIVERSITY_CARBON_VALUE,MARINE_BIODIVERSITY_50KM_VALUE
32,Boa,0_10,Laterite,Ni,2360000,,0,,,0.1,0.01471,0.8091322340510991,,,,,,,,,,,,,,,,,,,,10.113,125.654,10.0,0.9057695600721571
33,Boikgantsho,0_10,Magmatic Sulphide,Ni,48800000,,0,,,0.1,0.0012,0.6003228660689989,,,,,,,,,,,,,,,,,,,,-23.96348,28.89102,9.0,
34,Bon Accord,0_10,Magmatic Sulphide,Ni,9010000,,0,,,0.1,0.00515,0.7178022608769993,,,,,,,,,,,,,,,,,,,,-25.67314,31.16952,6.0,
35,Botolan,30_100,Laterite,Ni,3050968,,0,,,0.1,0.012,0.773734779433061,,,,,,,,,,,,,,,,,,,,15.31111,120.08611,49.0,0.8687427520751954
36,Bowden Lake,0_10,Magmatic Sulphide,Ni,4310000,,0,,,0.1,0.01164,0.7835675466094415,,,,,,,,,,,,,,,,,,,,54.9154,-98.66201,6.0,
37,Broken Hammer,30_100,Magmatic Sulphide,Ni,454150,,1,,-9999,1.0,0.001,0.5856188148351232,,,,,,,,,,,,,,,,,,,,46.76462,-81.03598,40.0,
38,Brooke's Point,0_10,Laterite,Ni,34764000,,0,,,0.1,0.0123,0.7780273432057712,,,,,,,,,,,,,,,,,,,,8.96032,117.82398,3.0,0.9368128776550293
39,Bucko Lake,0_10,Magmatic Sulphide,Ni,16314000,,1,,-9999,1.0,0.012,0.7860240512338756,,,,,,,,,,,,,,,,,,,,54.87763,-98.65865,6.0,
40,Buena Vista,30_100,Laterite,Ni,10000000,,0,,,0.1,0.018000000000000002,0.8442208338265843,,,,,,,,,,,,,,,,,,,,15.59923,-89.22392,41.0,0.8928557634353638
41,Bugotu,0_10,Laterite,Ni,200000000,,0,,,0.1,0.015,0.8125260543935232,,,,,,,,,,,,,,,,,,,,-8.51,159.63,9.0,0.9266581005520291
42,Bulanjao,10_30,Laterite,Ni,54000000,,0,,,0.1,0.01435,0.8048248973869419,,,,,,,,,,,,,,,,,,,,8.56651,117.42216,19.0,0.9144068823920356
43,Bunkerville,30_100,Magmatic Sulphide,Ni,203000,,0,,,0.1,0.0109,0.7782701450241447,,,,,,,,,,,,,,,,,,,,36.61805,-114.16678,51.0,
44,Cagdianao,10_30,Laterite,Ni,97643000,,1,,-9999,1.0,0.0111,0.7601819450639663,,,,,,,,,,,,,,,,,,,,9.48482,125.85012,12.0,0.920609712600708
45,Cagdianao,0_10,Laterite,Ni,14200000,,1,,-9999,1.0,0.01122,0.7620512103863517,,,,,,,,,,,,,,,,,,,,10.16278,125.66694,10.0,0.9054279327392578
46,Caldag,30_100,Laterite,Ni,33200000,,0,,,0.1,0.0113,0.7632863132727834,,,,,,,,,,,,,,,,,,,,38.51692,27.68496,65.0,0.8627646565437317
47,Cameroon East,0_10,Laterite,Ni,120600000,,0,,,0.1,0.006500000000000001,0.6671526978664878,,,,,,,,,,,,,,,,,,,,3.33306,13.83333,1.0,
48,Canalask,30_100,Magmatic Sulphide,Ni,390000,,0,,,0.1,0.013500000000000002,0.7955231352765274,,,,,,,,,,,,,,,,,,,,61.96667,-140.5,45.0,
49,Canegrass,10_30,Magmatic Sulphide,Ni,29600000,,0,,,0.1,0.00705,0.7431285391043764,,,,,,,,,,,,,,,,,,,,-30.28594,120.9766,21.0,
50,Canegrass,30_100,Magmatic Sulphide,Ni,145800000,,0,,,0.1,0.00062,0.5470657055248712,,,,,,,,,,,,,,,,,,,,-28.35189,118.40869,59.0,
51,Carlingup,0_10,Magmatic Sulphide,Ni,27600000,,0,,,0.1,0.005600000000000001,0.7245582181763456,,,,,,,,,,,,,,,,,,,,-33.60389,120.30111,8.0,0.9344081878662109
52,Carman Bay,10_30,Magmatic Sulphide,Ni,670000000,,0,,,0.1,0.002,0.6415204418001024,,,,,,,,,,,,,,,,,,,,48.38548,-80.99412,24.0,
53,Carnilya Hill,10_30,Magmatic Sulphide,Ni,104000,,0,,,0.1,0.028999999999999998,0.8571878562277024,,,,,,,,,,,,,,,,,,,,-31.05556,121.86389,25.0,
54,Carr Boyd,30_100,Magmatic Sulphide,Ni,860000,,0,,,0.1,0.0066,0.7378090949599357,,,,,,,,,,,,,,,,,,,,-30.05656,121.63055,41.0,
55,Carrascal-Cantilan,0_10,Laterite,Ni,91354000,,1,,-9999,1.0,0.00893,0.7223667535213159,,,,,,,,,,,,,,,,,,,,9.281,125.881,7.0,0.9157907168070475
56,Casiguran,0_10,Laterite,Ni,9897000,,1,,-9999,1.0,0.0102,0.7454824887291679,,,,,,,,,,,,,,,,,,,,10.43,125.62,9.0,0.8928356170654297
57,Cawse,10_30,Laterite,Ni,176485000,,0,,,0.1,0.0069099999999999995,0.6777860492655169,,,,,,,,,,,,,,,,,,,,-30.37056,121.14611,30.0,
58,Celestial,10_30,Laterite,Ni,48809000,,1,,-9999,1.0,0.013000000000000001,0.7876494037350286,,,,,,,,,,,,,,,,,,,,8.91879,117.89098,20.0,0.9257336722479926
59,Cendrawana,0_10,Laterite,Ni,59600000,,0,,,0.1,0.013999999999999999,0.8005323336142315,,,,,,,,,,,,,,,,,,,,-2.52167,138.88333,3.0,0.9203622937202454
60,Central Musgrave,30_100,Laterite,Ni,187300000,,0,,,0.1,0.0091,0.7256450314807193,,,,,,,,,,,,,,,,,,,,-26.05756,128.95332,49.0,
61,Cere Villebon,10_30,Magmatic Sulphide,Ni,421840,,0,,,0.1,0.0072,0.7448264755027724,,,,,,,,,,,,,,,,,,,,47.8888,-77.28913,27.0,
62,Cerro Matoso,10_30,Laterite,Ni,300000000,,1,,-9999,1.0,0.009000000000000001,0.7237241279580434,,,,,,,,,,,,,,,,,,,,7.765306,-75.682802,21.0,
63,Chaya,30_100,Magmatic Sulphide,Ni,121700000,,0,,,0.1,0.0051400000000000005,0.7176455086410632,,,,,,,,,,,,,,,,,,,,56.31667,110.36667,37.0,
64,Chernogorskoye,30_100,Magmatic Sulphide,Ni,143000000,,0,,,0.1,0.0022,0.6492071124911414,,,,,,,,,,,,,,,,,,,,69.03354,88.70213,35.0,
65,Chrome-Puddy,10_30,Magmatic Sulphide,Ni,27215542,,0,,,0.1,0.0027,0.6657235770766295,,,,,,,,,,,,,,,,,,,,49.96907,-89.52303,26.0,
66,Cleopatra,10_30,Laterite,Ni,39474000,,0,,,0.1,0.0084,0.7117304071787518,,,,,,,,,,,,,,,,,,,,42.03389,-123.91444,12.0,0.9480093121528625
67,Codemin,0_10,Laterite,Ni,11900000,,1,,-9999,1.0,0.01218,0.7763230158289747,,,,,,,,,,,,,,,,,,,,-14.15678,-48.33885,5.0,
68,Coglia,30_100,Laterite,Ni,102886300,,0,,,0.1,0.006,0.6532380735645201,,,,,,,,,,,,,,,,,,,,-28.83722,122.8602,50.0,
69,Collurabbie Hills,30_100,Magmatic Sulphide,Ni,572581,,0,,,0.1,0.0163,0.8107234896151111,,,,,,,,,,,,,,,,,,,,-26.82035,122.18725,60.0,
70,Corkwood,30_100,Magmatic Sulphide,Ni,225000,,0,,,0.1,0.006500000000000001,0.7365777886000597,,,,,,,,,,,,,,,,,,,,-17.295,128.18778,40.0,
