scenario,model,year,cambio_pct_vs_2020
BAU,AIM,2020.0,0.0
BAU,AIM,2025.0,5.385654579630264
BAU,AIM,2030.0,10.562288151001193
BAU,AIM,2035.0,15.629098021218049
BAU,AIM,2040.0,20.402883620176876
BAU,AIM,2045.0,24.93376916293788
BAU,AIM,2050.0,29.08718615741302
BAU,CAPRI,2020.0,0.0
BAU,CAPRI,2030.0,4.134065733856498
BAU,CAPRI,2040.0,7.436058748230237
BAU,CAPRI,2050.0,13.3884834203701
BAU,ENVISAGE,2020.0,0.0
BAU,ENVISAGE,2021.0,0.0659390993051376
BAU,ENVISAGE,2025.0,6.90389703511705
BAU,ENVISAGE,2030.0,14.32228243044669
BAU,ENVISAGE,2035.0,21.501586372375723
BAU,ENVISAGE,2040.0,27.866366519833115
BAU,ENVISAGE,2045.0,34.37071141724875
BAU,ENVISAGE,2050.0,41.12712506919521
BAU,GCAM,2020.0,0.0
BAU,GCAM,2025.0,6.266436284268992
BAU,GCAM,2030.0,11.418538480254911
BAU,GCAM,2035.0,16.620915593570558
BAU,GCAM,2040.0,23.283941688847776
BAU,GCAM,2045.0,31.32403375919255
BAU,GCAM,2050.0,39.25812185730874
BAU,GLOBIOM,2020.0,0.0
BAU,GLOBIOM,2030.0,14.287631126658969
BAU,GLOBIOM,2040.0,26.56460584381348
BAU,GLOBIOM,2050.0,37.76354401020264
BAU,IMAGE,2020.0,0.0
BAU,IMAGE,2025.0,5.585379512144938
BAU,IMAGE,2030.0,11.87742537097593
BAU,IMAGE,2035.0,17.509492094200123
BAU,IMAGE,2040.0,22.60158197267474
BAU,IMAGE,2045.0,28.03317000617748
BAU,IMAGE,2050.0,33.39845130020967
BAU,IMPACT,2020.0,0.0
BAU,IMPACT,2021.0,0.6469704206025283
BAU,IMPACT,2022.0,2.1833613891932213
BAU,IMPACT,2023.0,3.682832166610722
BAU,IMPACT,2024.0,5.296951417419542
BAU,IMPACT,2025.0,6.929136932252253
BAU,IMPACT,2026.0,8.521428543320603
BAU,IMPACT,2027.0,10.11076560678998
BAU,IMPACT,2028.0,11.697162393944527
BAU,IMPACT,2029.0,13.268089091055232
BAU,IMPACT,2030.0,14.812226028623126
BAU,IMPACT,2031.0,16.20654817013642
BAU,IMPACT,2032.0,17.610229550493038
BAU,IMPACT,2033.0,19.02005680532868
BAU,IMPACT,2034.0,20.433149207019603
BAU,IMPACT,2035.0,21.83469985098477
BAU,IMPACT,2036.0,23.14273784118939
BAU,IMPACT,2037.0,24.457996079268018
BAU,IMPACT,2038.0,25.784075525528987
BAU,IMPACT,2039.0,27.113960187764768
BAU,IMPACT,2040.0,28.439152606328577
BAU,IMPACT,2041.0,29.63429901399724
BAU,IMPACT,2042.0,30.83256001545585
BAU,IMPACT,2043.0,32.04049320121356
BAU,IMPACT,2044.0,33.253739554725456
BAU,IMPACT,2045.0,34.45860675066618
BAU,IMPACT,2046.0,35.63210846167006
BAU,IMPACT,2047.0,36.805714503172304
BAU,IMPACT,2048.0,37.98076419578363
BAU,IMPACT,2049.0,39.15359147509421
BAU,IMPACT,2050.0,40.36254029620881
BAU,MAGNET,2020.0,0.0
BAU,MAGNET,2025.0,5.474588600202518
BAU,MAGNET,2030.0,11.51503236726528
BAU,MAGNET,2040.0,21.77707825399068
BAU,MAGNET,2050.0,31.94514569635273
BAU,MAgPIE,2020.0,0.0
BAU,MAgPIE,2025.0,6.725591917515395
BAU,MAgPIE,2030.0,14.166211046148588
BAU,MAgPIE,2035.0,21.639795924479728
BAU,MAgPIE,2040.0,28.66475611565744
BAU,MAgPIE,2045.0,35.23478295083948
BAU,MAgPIE,2050.0,41.32550521488912
EL2,AIM,2020.0,-0.0002682126990231
EL2,AIM,2025.0,-5.783036517057556
EL2,AIM,2030.0,-6.786113371911262
EL2,AIM,2035.0,-4.072848429787462
EL2,AIM,2040.0,-0.6820117837306268
EL2,AIM,2045.0,3.3189242162242465
EL2,AIM,2050.0,7.700529739322636
EL2,CAPRI,2030.0,1.0751940011535883
EL2,CAPRI,2040.0,0.1870367556884742
EL2,CAPRI,2050.0,3.8848432225366616
EL2,ENVISAGE,2020.0,-0.574628507333313
EL2,ENVISAGE,2021.0,-0.7960036616948232
EL2,ENVISAGE,2025.0,2.345001573979204
EL2,ENVISAGE,2030.0,4.733439589694117
EL2,ENVISAGE,2035.0,6.365058645694635
EL2,ENVISAGE,2040.0,6.714620349810496
EL2,ENVISAGE,2045.0,6.70141025009049
EL2,ENVISAGE,2050.0,6.300549170674024
EL2,GCAM,2020.0,0.089612710157322
EL2,GCAM,2025.0,-2.3558995651689942
EL2,GCAM,2030.0,-5.507930003275819
EL2,GCAM,2035.0,-6.949008280014521
EL2,GCAM,2040.0,-5.397977182663071
EL2,GCAM,2045.0,-1.3929332691765095
EL2,GCAM,2050.0,3.1249642759327263
EL2,GLOBIOM,2020.0,0.0
EL2,GLOBIOM,2030.0,1.3259374706728544
EL2,GLOBIOM,2040.0,-1.8968042145639985
EL2,GLOBIOM,2050.0,-5.885989981220456
EL2,IMAGE,2020.0,0.0
EL2,IMAGE,2025.0,5.411270539432814
EL2,IMAGE,2030.0,11.164917147171415
EL2,IMAGE,2035.0,16.45807850813565
EL2,IMAGE,2040.0,21.29734227099101
EL2,IMAGE,2045.0,26.27955514153549
EL2,IMAGE,2050.0,31.00214390197426
EL2,IMPACT,2020.0,-0.9716777453551038
EL2,IMPACT,2021.0,-1.5053041912076393
EL2,IMPACT,2022.0,-0.6634121739462319
EL2,IMPACT,2023.0,0.0203485230143993
EL2,IMPACT,2024.0,0.7771585503415239
EL2,IMPACT,2025.0,1.522811863864674
EL2,IMPACT,2026.0,2.3067383023645154
EL2,IMPACT,2027.0,3.1235016097282284
EL2,IMPACT,2028.0,3.948499925575878
EL2,IMPACT,2029.0,4.774337198662109
EL2,IMPACT,2030.0,5.62220730238521
EL2,IMPACT,2031.0,6.36709003517333
EL2,IMPACT,2032.0,7.1899424288783
EL2,IMPACT,2033.0,8.07141280999762
EL2,IMPACT,2034.0,9.019214936238992
EL2,IMPACT,2035.0,10.007696200119378
EL2,IMPACT,2036.0,10.950620133516797
EL2,IMPACT,2037.0,11.939713203890056
EL2,IMPACT,2038.0,12.976410887210694
EL2,IMPACT,2039.0,14.054130683896062
EL2,IMPACT,2040.0,15.16863757661604
EL2,IMPACT,2041.0,16.18433420820619
EL2,IMPACT,2042.0,17.222290971935077
EL2,IMPACT,2043.0,18.273792493257428
EL2,IMPACT,2044.0,19.34218072072624
EL2,IMPACT,2045.0,20.384935876726924
EL2,IMPACT,2046.0,21.395793437153173
EL2,IMPACT,2047.0,22.399259964619127
EL2,IMPACT,2048.0,23.41705269930223
EL2,IMPACT,2049.0,24.45079438613967
EL2,IMPACT,2050.0,25.472721311155944
EL2,MAGNET,2020.0,-0.224216733965483
EL2,MAGNET,2025.0,4.129288196409571
EL2,MAGNET,2030.0,8.97980932868885
EL2,MAGNET,2040.0,18.32606770506888
EL2,MAGNET,2050.0,29.147290438866573
EL2,MAgPIE,2020.0,0.0258236714437253
EL2,MAgPIE,2025.0,6.793881404598584
EL2,MAgPIE,2030.0,12.079800634044268
EL2,MAgPIE,2035.0,14.454392401165316
EL2,MAgPIE,2040.0,14.647771432179818
EL2,MAgPIE,2045.0,12.935323442887212
EL2,MAgPIE,2050.0,8.795859029038372
