estacion,lat,lon,prof_m,fecha,hora
7,-20.54987,-175.39859,310,2022-04-13,06:03
8,-20.55004,-175.38731,844,2022-04-13,06:43
9,-20.54997,-175.37433,687,2022-04-13,07:37
10,-20.55836,-175.37431,618,2022-04-13,08:31
11,-20.55833,-175.38709,845,2022-04-13,09:17
12,-20.55832,-175.39998,578,2022-04-13,10:11
13,-20.56669,-175.39979,174,2022-04-13,10:51
15,-20.5667,-175.37439,109,2022-04-13,12:01
17,-20.55417,-175.38072,852,2022-04-14,15:04
18,-20.56245,-175.38715,760,2022-04-14,17:37
25,-20.54625,-175.36823,403,2022-04-15,21:07
27,-20.56899,-175.4061,89,2022-04-16,00:05
28,-20.53778,-175.39321,218,2022-04-16,00:41
