perfil,dist_km,prof_pre_m,prof_post_m
E-W,-4.987,-632.8,-629.6
E-W,-4.937,-621.6,-619.7
E-W,-4.887,-609.5,-605.8
E-W,-4.837,-597.2,-591.5
E-W,-4.787,-585.6,-579.8
E-W,-4.737,-574.6,-569.5
E-W,-4.687,-563.7,-558.3
E-W,-4.637,-552.5,-547.2
E-W,-4.587,-540.8,-536.6
E-W,-4.537,-528.8,-521.0
E-W,-4.487,-517.0,-502.5
E-W,-4.437,-506.3,-493.5
E-W,-4.387,-497.1,-494.3
E-W,-4.337,-488.8,-488.0
E-W,-4.287,-481.2,-482.1
E-W,-4.237,-474.1,-477.7
E-W,-4.187,-467.1,-471.5
E-W,-4.137,-460.2,-466.3
E-W,-4.087,-453.3,-459.5
E-W,-4.037,-445.8,-452.2
E-W,-3.987,-437.8,-444.2
E-W,-3.937,-429.4,-436.2
E-W,-3.887,-421.1,-428.7
E-W,-3.837,-413.4,-421.6
E-W,-3.787,-405.9,-414.2
E-W,-3.737,-398.5,-405.8
E-W,-3.687,-390.6,-397.0
E-W,-3.637,-382.0,-390.6
E-W,-3.587,-372.1,-383.9
E-W,-3.537,-360.5,-376.7
E-W,-3.487,-347.7,-369.4
E-W,-3.437,-334.4,-359.9
E-W,-3.387,-321.8,-347.2
E-W,-3.337,-310.7,-333.8
E-W,-3.287,-300.1,-321.1
E-W,-3.237,-288.8,-308.9
E-W,-3.187,-276.3,-297.1
E-W,-3.137,-262.2,-285.2
E-W,-3.087,-246.6,-272.5
E-W,-3.037,-229.8,-257.6
E-W,-2.987,-212.5,-241.4
E-W,-2.937,-195.1,-226.7
E-W,-2.887,-177.7,-211.2
E-W,-2.837,-161.1,-191.1
E-W,-2.787,-145.3,-172.0
E-W,-2.737,-130.1,-157.7
E-W,-2.687,-115.0,-152.8
E-W,-2.637,-99.3,-124.9
E-W,-2.587,-83.1,-110.1
E-W,-2.537,-66.4,-92.3
E-W,-2.487,-49.7,-73.8
E-W,-2.437,-33.9,-45.5
E-W,-2.387,-20.5,-38.4
E-W,-2.337,-10.9,-34.0
E-W,-2.287,-5.9,-31.3
E-W,-2.037,-1.8,-75.4
E-W,-1.987,-5.7,-85.3
E-W,-1.937,-7.8,-94.8
E-W,-1.887,-10.1,-105.5
E-W,-1.837,-12.5,-130.6
E-W,-1.787,-15.7,-146.9
E-W,-1.737,-20.5,-162.7
E-W,-1.687,-26.8,-176.4
E-W,-1.637,-31.3,-207.1
E-W,-1.587,-31.6,-222.1
E-W,-1.537,-29.9,-243.6
E-W,-1.487,-27.6,-289.6
E-W,-1.437,-25.7,-409.9
E-W,-1.387,-24.6,-519.4
E-W,-1.337,-24.0,-569.8
E-W,-1.287,-23.5,-615.8
E-W,-1.237,-23.4,-665.6
E-W,-1.187,-23.9,-687.4
E-W,-1.137,-24.5,-707.8
E-W,-1.087,-25.2,-728.1
E-W,-1.037,-25.9,-770.7
E-W,-0.987,-26.7,-791.1
E-W,-0.937,-27.3,-808.2
E-W,-0.887,-27.6,-821.5
E-W,-0.837,-27.6,-840.3
E-W,-0.787,-27.0,-845.6
E-W,-0.737,-25.9,-849.9
E-W,-0.687,-24.9,-852.5
E-W,-0.637,-24.1,-854.2
