x_km,y_km,prof_pre_m,prof_post_m,cambio_m
-4.96,4.96,-1126.6,-1119.3,7.2
-4.86,4.96,-1116.2,-1107.0,9.2
-4.76,4.96,-1104.7,-1095.6,9.1
-4.66,4.96,-1092.6,-1084.7,8.0
-4.56,4.96,-1080.1,-1073.1,7.0
-4.46,4.96,-1067.6,-1061.4,6.2
-4.36,4.96,-1053.4,-1048.9,4.5
-4.26,4.96,-1039.6,-1037.2,2.3
-4.16,4.96,-1025.5,-1026.3,-0.8
-4.06,4.96,-1011.6,-1019.0,-7.4
-3.96,4.96,-998.6,-1016.5,-17.9
-3.86,4.96,-986.0,-1012.7,-26.7
-3.76,4.96,-973.2,-1005.7,-32.4
-3.66,4.96,-961.2,-995.0,-33.7
-3.56,4.96,-951.1,-983.3,-32.2
-3.46,4.96,-942.1,-972.0,-29.9
-3.36,4.96,-935.6,-970.7,-35.1
-3.26,4.96,-930.0,-970.9,-40.9
-3.16,4.96,-923.9,-972.0,-48.0
-3.06,4.96,-917.5,-969.0,-51.5
-2.96,4.96,-912.3,-962.6,-50.3
-2.86,4.96,-907.2,-953.8,-46.7
-2.76,4.96,-901.4,-953.4,-52.0
-2.66,4.96,-895.6,-947.9,-52.3
-2.56,4.96,-890.5,-931.8,-41.4
-2.46,4.96,-885.6,-906.1,-20.5
-2.36,4.96,-879.9,-891.7,-11.8
-2.26,4.96,-873.4,-884.8,-11.5
-2.16,4.96,-865.9,-879.4,-13.5
-2.06,4.96,-857.3,-873.9,-16.5
-1.96,4.96,-847.1,-865.7,-18.6
-1.86,4.96,-836.3,-862.5,-26.1
-1.76,4.96,-827.4,-851.3,-24.0
-1.66,4.96,-821.6,-835.7,-14.1
-1.56,4.96,-818.1,-820.0,-1.9
-1.46,4.96,-816.3,-813.4,2.9
-1.36,4.96,-816.5,-811.6,5.0
-1.26,4.96,-818.5,-811.6,6.9
-1.16,4.96,-821.3,-814.3,7.0
-1.06,4.96,-824.7,-817.1,7.6
-0.96,4.96,-828.1,-820.9,7.2
-0.86,4.96,-832.5,-825.1,7.4
-0.76,4.96,-837.5,-827.5,10.0
-0.66,4.96,-841.8,-830.5,11.3
-0.56,4.96,-844.2,-832.6,11.7
-0.46,4.96,-844.4,-832.6,11.8
-0.36,4.96,-842.5,-831.0,11.5
-0.26,4.96,-839.3,-828.1,11.1
-0.16,4.96,-835.1,-824.6,10.5
-0.06,4.96,-830.6,-822.4,8.3
0.04,4.96,-826.6,-820.0,6.7
0.14,4.96,-824.6,-818.3,6.3
0.24,4.96,-823.6,-816.3,7.3
0.34,4.96,-823.2,-814.0,9.2
0.44,4.96,-822.4,-809.9,12.4
0.54,4.96,-818.9,-806.5,12.4
0.64,4.96,-813.8,-802.5,11.3
0.74,4.96,-809.3,-799.3,10.0
0.84,4.96,-806.1,-797.8,8.2
0.94,4.96,-803.8,-796.9,6.9
1.04,4.96,-802.8,-797.6,5.2
1.14,4.96,-803.0,-798.8,4.2
