Exposure,DiseaseName,Acronym,Estimate,StdErr,Pvalue,OR,Direction,Significance,outcome
3543,Cataract,CAT,-0.0989325561952621,0.0590570289907527,0.0938942628346611,0.905803796817898,negative,NS,longevity
4290,Insomnia,INS,0.028278863303694,0.0956396777454681,0.767473486945801,1.02868250622967,positive,NS,longevity
2,Attention deficit hyperactivity disorder,ADHD,-0.192068402605903,0.0445128231829983,1.59674812178612e-05,0.825250417281935,negative,S,longevity
3666,Benign neoplasm of colon-rectum-anus,NEO,-0.083001804508513,0.043847821814321,0.0583643061081156,0.920349486440143,negative,NS,longevity
2052,Age-related macular degeneration,ARMD,-0.0089231718382358,0.0060705531973862,0.141585908285296,0.991116521508335,negative,NS,longevity
3687,Obesity,OBE,-0.169344383066861,0.0476287118608192,0.0003772459394831,0.844218118893397,negative,S,longevity
3698,Diaphragmatic hernia,DHER,0.0179920703604409,0.0789437275664999,0.819716155138131,1.01815490275639,positive,NS,longevity
3688,Lipoprotein metabolism disorders,LIPO,-0.432569230688626,0.0374998383147848,8.76533809497902e-31,0.648839931944213,negative,S,longevity
GCST90061440,Cirrhosis,CIRR,-0.0047772120640039,0.003112432660018,0.124813194783572,0.995234180664502,negative,NS,longevity
3603,Migraine,MIG,0.0283379473483784,0.0370784628714589,0.444706511443867,1.02874328674839,positive,NS,longevity
4311,Diverticular disease,DIV,-0.348151775161246,0.152002579785537,0.0219962091965804,0.705991716075921,negative,S,longevity
CMDKP2018AF,Atrial fibrillation,AF,-0.0344710993248961,0.0052150861253801,3.8462876666760495e-11,0.966116260695185,negative,S,longevity
3685,Hypothyroidism,HYPO,-0.0945943602708389,0.0136285078145509,3.8955907205399496e-12,0.909741887084936,negative,S,longevity
3691,Hypertension,HYP,-0.476625518213392,0.0264635155140487,1.60685881719725e-72,0.620874992140486,negative,S,longevity
4267,Asthma adult-onset,AAO,-0.128139765966409,0.0159762495642277,1.05194559748798e-15,0.879730414180168,negative,S,longevity
GCST009541,Heart failure,HF,-0.321786630971237,0.0586968314810776,4.20115023415011e-08,0.724852834976522,negative,S,longevity
GCST90013410,Basal cell carcinoma,BCC,0.0048010222988209,0.0050511990365586,0.341872570346362,1.00481256567232,positive,NS,longevity
GCST90011817,Bladder cancer,BLA,-0.0253903213065889,0.0258802886710265,0.326559242613511,0.97492930207406,negative,NS,longevity
4266,Asthma child-onset,ACO,-0.0297774509269748,0.0083443113169191,0.0003589034623756,0.970661529336361,negative,S,longevity
4276,Carpal tunnel syndrome,CTS,0.0767895669099597,0.495456749116701,0.876831229053841,1.07981482371267,positive,NS,longevity
GCST90011811,Colon cancer,COL,-0.0431895018584902,0.0301300904978327,0.151733793541272,0.957729881277014,negative,NS,longevity
2029,Chron’s disease,CHRO,0.002971658751535,0.0030806862429987,0.334740514943815,1.00297607850632,positive,NS,longevity
GCST90011810,Rectal cancer,REC,-0.0568231102891983,0.0255172392511271,0.0259571797551167,0.94476117311731,negative,S,longevity
GCST90011812,Lung cancer,LUN,-0.193463912757826,0.140155767959787,0.167479130021446,0.824099575139453,negative,NS,longevity
GCST90011819,Non-Hodgkin's lymphoma,NHL,-0.123962841198562,0.0247736492728929,5.62057190319128e-07,0.883412666828736,negative,S,longevity
GCST90011808,Prostate cancer,PRO,-0.0446918629247631,0.0101480714391808,1.06284713428042e-05,0.956292105490991,negative,S,longevity
3671,Inguinal hernia,IHER,0.0069918052791714,0.021402188115435,0.743905034873128,1.00701630501555,positive,NS,longevity
BCAC2020BC,Breast cancer,BRE,-0.0355025567519449,0.0047328047023168,6.31504224983263e-14,0.965120266653727,negative,S,longevity
GCST008057,Varicose veins,VAR,-0.732692780334491,0.509745681944728,0.150613094822373,0.480613060648403,negative,NS,longevity
GCST010003,Refractive error,RE,0.0164915548035024,0.0100496594986546,0.10079610220615,1.01662829112412,positive,NS,longevity
GCST90129442,Gout,GOU,-0.007791033504504,0.0038099311308595,0.040861991736065,0.99223923793076,negative,S,longevity
GCST90132223,Rheumatoid arthritis,RHAR,-0.0157310425024802,0.001579594106076,2.30566533390847e-23,0.984392044074687,negative,S,longevity
1135,Atopic dermatitis,ECZ,-0.0048100303070387,0.0080752318061446,0.551407537676769,0.99520151936323,negative,NS,longevity
