year2,years,plot,parasitism,virus
2019,2018-2019,AHC,0.089,0.0
2019,2018-2019,AHM,0.057,0.2
2019,2018-2019,ALC,0.101,
2019,2018-2019,ALM,0.138,
2019,2018-2019,BHC,0.05,0.3
2019,2018-2019,BHM,0.055,0.6
2019,2018-2019,BLC,0.164,0.0
2019,2018-2019,BLM,0.053,0.1
2019,2018-2019,DHC,0.097,0.0
2019,2018-2019,DHM,0.182,
2019,2018-2019,DLC,0.147,
2019,2018-2019,DLM,0.0,
2019,2018-2019,FHC,0.092,0.2
2019,2018-2019,FHM,0.118,0.2
2019,2018-2019,FLC,0.069,0.1
2019,2018-2019,FLM,0.059,
2019,2018-2019,GHC,0.139,0.1
2019,2018-2019,GHM,0.039,0.5
2019,2018-2019,GLC,0.125,0.0
2019,2018-2019,GLM,0.064,
2019,2018-2019,HHC,0.1,0.2
2019,2018-2019,HHM,0.023,0.5
2019,2018-2019,HLC,0.136,0.0
2019,2018-2019,HLM,0.073,
2019,2018-2019,JHC,0.155,0.2
2019,2018-2019,JHM,0.048,
2019,2018-2019,JLC,0.059,0.0
2019,2018-2019,JLM,0.094,
2019,2018-2019,MHC,0.067,0.1
2019,2018-2019,MHM,0.13,0.2
2019,2018-2019,MLC,0.17,0.0
2019,2018-2019,MLM,0.026,
2019,2018-2019,NHC,0.089,0.0
2019,2018-2019,NHM,0.047,0.1
2019,2018-2019,NLC,0.158,0.0
2019,2018-2019,NLM,0.157,0.0
2019,2018-2019,OHC,0.047,0.5
2019,2018-2019,OHM,0.05,0.1
2019,2018-2019,OLC,0.106,
2019,2018-2019,OLM,0.098,
2019,2018-2019,SHC,0.074,0.0
2019,2018-2019,SHM,0.133,
2019,2018-2019,SLC,0.151,
2019,2018-2019,SLM,0.127,
2019,2018-2019,THC,0.199,0.2
2019,2018-2019,THM,0.159,
2019,2018-2019,TLC,0.166,0.0
2019,2018-2019,TLM,0.259,
2020,2019-2020,AHC,0.098,0.1
2020,2019-2020,AHM,0.143,0.11
2020,2019-2020,ALC,0.051,
2020,2019-2020,ALM,0.5,
2020,2019-2020,BHC,0.037,0.2
2020,2019-2020,BHM,0.0,0.0
2020,2019-2020,BLC,0.136,
2020,2019-2020,BLM,0.167,
2020,2019-2020,DHC,0.151,0.6
2020,2019-2020,DHM,0.0,
2020,2019-2020,DLC,0.13,0.0
2020,2019-2020,DLM,0.2,
2020,2019-2020,FHC,0.254,0.2
2020,2019-2020,FHM,0.0,
2020,2019-2020,FLC,0.216,0.5
2020,2019-2020,FLM,0.189,
2020,2019-2020,GHC,0.305,0.0
2020,2019-2020,GHM,0.189,
2020,2019-2020,GLC,0.181,0.0
2020,2019-2020,GLM,0.244,
2020,2019-2020,HHC,0.092,
2020,2019-2020,HHM,0.167,
2020,2019-2020,HLC,0.133,0.0
2020,2019-2020,HLM,0.22,
2020,2019-2020,JHC,0.221,0.23
2020,2019-2020,JHM,0.32,
2020,2019-2020,JLC,0.078,0.07
2020,2019-2020,JLM,0.154,
2020,2019-2020,MHC,0.257,
2020,2019-2020,MHM,0.167,
2020,2019-2020,MLC,0.061,
2020,2019-2020,MLM,0.1,
2020,2019-2020,NHC,0.134,0.9
2020,2019-2020,NHM,0.056,
2020,2019-2020,NLC,0.279,0.5
2020,2019-2020,NLM,0.096,
2020,2019-2020,OHC,0.333,0.8
2020,2019-2020,OHM,0.125,
2020,2019-2020,OLC,0.085,0.4
2020,2019-2020,OLM,0.0,
2020,2019-2020,SHC,0.151,0.7
2020,2019-2020,SHM,0.156,
2020,2019-2020,SLC,0.063,0.5
2020,2019-2020,SLM,0.37,
2020,2019-2020,THC,0.186,
2020,2019-2020,THM,0.19,
2020,2019-2020,TLC,0.167,
2020,2019-2020,TLM,0.123,
2021,2020-2021,AHC,0.103,
2021,2020-2021,AHM,0.25,
2021,2020-2021,ALC,0.0,
2021,2020-2021,ALM,0.045,
2021,2020-2021,BHC,0.0,
2021,2020-2021,BHM,0.0,
2021,2020-2021,BLC,0.111,
2021,2020-2021,BLM,0.0,
2021,2020-2021,DHC,0.034,
2021,2020-2021,DHM,0.19,
2021,2020-2021,DLC,0.0,
2021,2020-2021,DLM,0.0,
2021,2020-2021,FHC,0.091,
2021,2020-2021,FHM,0.105,
2021,2020-2021,FLC,0.0,
2021,2020-2021,FLM,0.037,
2021,2020-2021,GHC,0.125,
2021,2020-2021,GHM,0.079,
2021,2020-2021,GLC,0.067,
2021,2020-2021,GLM,0.071,
2021,2020-2021,HHC,0.063,
2021,2020-2021,HHM,0.053,
2021,2020-2021,HLC,0.1,
2021,2020-2021,HLM,0.152,
2021,2020-2021,JHC,0.047,
2021,2020-2021,JHM,0.0,
2021,2020-2021,JLC,0.1,
2021,2020-2021,JLM,0.25,
2021,2020-2021,MHC,0.057,
2021,2020-2021,MHM,0.0,
2021,2020-2021,MLC,0.018,
2021,2020-2021,MLM,0.123,
2021,2020-2021,NHC,0.057,
2021,2020-2021,NHM,0.085,
2021,2020-2021,NLC,0.087,
2021,2020-2021,NLM,0.083,
2021,2020-2021,OHC,0.143,
2021,2020-2021,OHM,0.091,
2021,2020-2021,OLC,0.071,
2021,2020-2021,OLM,0.0,
2021,2020-2021,SHC,0.085,
2021,2020-2021,SHM,0.176,
2021,2020-2021,SLC,0.042,
2021,2020-2021,SLM,0.054,
2021,2020-2021,THC,0.063,
2021,2020-2021,THM,0.175,
2021,2020-2021,TLC,0.073,
2021,2020-2021,TLM,0.052,
