year,plot,region,condition,herbi,rel_doy,rel_doy_lead,delay_day
2018,FHC,F,HC,0.338625230259093,-12.178957882470456,1.003995338771432,13.182953221241888
2019,BHC,B,HC,0.20355285734415,-14.996004661228568,0.42213251206925406,15.418137173297822
2019,DHM,D,HM,0.224069429740618,-1.996004661228568,20.422132512069254,22.418137173297822
2020,TLC,T,LC,0.117375277230396,12.422132512069254,-20.9042783419344,-33.326410854003655
2018,NHM,N,HM,0.443276077047712,-9.178957882470456,-13.996004661228568,-4.817046778758112
2017,BH2C,B,HC,0.123583881498597,-1.6938155485267146,-6.178957882470456,-4.485142333943742
2018,GLM,G,LM,0.397041169830188,-1.1789578824704563,0.003995338771431989,1.1829532212418883
2020,NLM,N,LM,0.151588456044957,4.422132512069254,-11.9042783419344,-16.326410854003655
2019,HLC,H,LC,0.0211946361652209,38.00399533877143,5.422132512069254,-32.58186282670218
2017,D8H2C,D,HC,0.119943340128151,13.306184451473285,-12.178957882470456,-25.48514233394374
2020,AHM,A,HM,0.371307435156724,-6.577867487930746,7.0957216580655995,13.673589145996345
2019,MHC,M,HC,0.128280942630227,-24.996004661228568,-5.577867487930746,19.418137173297822
2017,BHM,B,HM,0.459792665818828,2.3061844514732854,45.821042117529544,43.51485766605626
2018,GLM,G,LM,0.286574853852601,-20.178957882470456,-2.996004661228568,17.18295322124189
2017,MHC,M,HC,0.290399049273122,-0.6938155485267146,-11.178957882470456,-10.485142333943742
2018,SHM,S,HM,0.468320877263592,9.821042117529544,20.003995338771432,10.182953221241888
2020,NLC,N,LC,0.36416472267042,3.422132512069254,6.0957216580655995,2.6735891459963455
2020,D8H2C,D,HC,0.140511741311637,0.42213251206925406,-7.9042783419344005,-8.326410854003655
2019,GLC,G,LC,0.134491562875391,7.003995338771432,9.422132512069254,2.418137173297822
2017,HHM,H,HM,0.317506455226581,6.306184451473285,-12.178957882470456,-18.48514233394374
2018,MHC,M,HC,0.259320551016667,-6.178957882470456,8.003995338771432,14.182953221241888
2019,BLM,B,LM,0.558475699539443,1.003995338771432,-16.577867487930746,-17.581862826702178
2017,OHM,O,HM,0.168947509142188,1.3061844514732854,-7.178957882470456,-8.485142333943742
2018,FLM,F,LM,0.384159953656396,-13.178957882470456,18.003995338771432,31.18295322124189
2018,NHM,N,HM,0.301436687963599,-11.178957882470456,-4.996004661228568,6.182953221241888
2020,DLC,D,LC,0.441135235253823,14.422132512069254,8.0957216580656,-6.3264108540036545
2019,DHM,D,HM,0.207507559989842,11.003995338771432,5.422132512069254,-5.581862826702178
2020,JLC,J,LC,0.113208267151895,-3.577867487930746,6.0957216580655995,9.673589145996345
2018,NLM,N,LM,-0.0305775640361572,37.821042117529544,-7.996004661228568,-45.81704677875811
2020,SHM,S,HM,0.156928120155761,-7.577867487930746,2.0957216580655995,9.673589145996345
2020,NLC,N,LC,0.519906580501889,4.422132512069254,-11.9042783419344,-16.326410854003655
2020,NLC,N,LC,0.368454871929446,6.422132512069254,-9.9042783419344,-16.326410854003655
2019,SLM,S,LM,0.192783716804223,6.003995338771432,-2.577867487930746,-8.581862826702178
2017,GHM,G,HM,0.121722877270026,13.306184451473285,-4.178957882470456,-17.48514233394374
2020,NHM,N,HM,0.136636264944719,27.422132512069254,-3.9042783419344005,-31.326410854003655
2020,OHC,O,HC,0.45495297872749,-15.577867487930746,0.09572165806559951,15.673589145996345
2017,D4H2C,D,HC,0.345584321536,12.306184451473285,-14.178957882470456,-26.48514233394374
2020,NLM,N,LM,0.395574715560838,-3.577867487930746,-4.9042783419344005,-1.3264108540036545
2018,NHC,N,HC,0.22565455264021,-13.178957882470456,3.003995338771432,16.18295322124189
2018,D8H2C,D,HC,0.270662165211758,0.8210421175295437,1.003995338771432,0.1829532212418883
2017,DHM,D,HM,-0.00412508995947825,24.306184451473285,18.821042117529544,-5.485142333943742
2019,NHM,N,HM,0.559951800442255,-6.996004661228568,-4.577867487930746,2.418137173297822
2019,D4H2C,D,HC,0.254761886944431,-23.996004661228568,0.42213251206925406,24.418137173297822
2020,BHM,B,HM,0.0635827639609723,31.422132512069254,0.09572165806559951,-31.326410854003655
2017,NLM,N,LM,0.13574479127089,13.306184451473285,-5.178957882470456,-18.48514233394374
2019,OHC,O,HC,0.220724621428752,-14.996004661228568,-7.577867487930746,7.418137173297822
2019,BHC,B,HC,0.191803301470815,0.003995338771431989,-5.577867487930746,-5.581862826702178
2020,THC,T,HC,0.337188862991366,0.42213251206925406,26.0957216580656,25.673589145996345
2020,JLM,J,LM,0.269663427926836,-0.5778674879307459,5.0957216580655995,5.6735891459963455
2018,BLM,B,LM,0.566360743055452,-7.178957882470456,1.003995338771432,8.182953221241888
2018,SHC,S,HC,0.404092762234986,-13.178957882470456,-4.996004661228568,8.182953221241888
2020,ALC,A,LC,0.235509925225682,-13.577867487930746,6.0957216580655995,19.673589145996345
2017,JLM,J,LM,0.10828557211436,-13.693815548526715,-13.178957882470456,0.5148576660562583
2020,MLC,M,LC,0.278443847758903,-11.577867487930746,-17.9042783419344,-6.3264108540036545
2018,D7H2C,D,HC,-0.00909683369217396,36.821042117529544,6.003995338771432,-30.81704677875811
2018,BLM,B,LM,0.195911164593825,3.8210421175295437,2.003995338771432,-1.8170467787581117
2020,FHC,F,HC,0.313234059234409,-0.5778674879307459,4.0957216580655995,4.6735891459963455
2019,MHM,M,HM,0.116616727988635,23.003995338771432,-11.577867487930746,-34.58186282670218
2017,NLC,N,LC,0.317715515736911,-6.693815548526715,23.821042117529544,30.51485766605626
2017,GLM,G,LM,0.549369191875768,12.306184451473285,-3.1789578824704563,-15.485142333943742
2018,JLC,J,LC,0.326327069865228,-5.178957882470456,8.003995338771432,13.182953221241888
2020,NHM,N,HM,0.492788137934596,-5.577867487930746,-17.9042783419344,-12.326410854003655
2018,D8H2C,D,HC,0.303992276947053,6.821042117529544,-25.996004661228568,-32.81704677875811
2019,FLC,F,LC,0.189860849021122,-2.996004661228568,18.422132512069254,21.418137173297822
2019,BLM,B,LM,0.18575898980387,-0.996004661228568,-1.577867487930746,-0.5818628267021779
2020,GHC,G,HC,0.170512970063064,-15.577867487930746,1.0957216580655995,16.673589145996345
2017,MHM,M,HM,0.220592627374549,-0.6938155485267146,-4.178957882470456,-3.4851423339437417
2018,GLC,G,LC,0.031892587108818,-8.178957882470456,-1.996004661228568,6.182953221241888
2018,OLM,O,LM,0.100912164277211,-7.178957882470456,-1.996004661228568,5.182953221241888
2017,SHM,S,HM,0.369915361029712,-9.693815548526715,-9.178957882470456,0.5148576660562583
2020,GLC,G,LC,0.387489825990506,-16.577867487930746,0.09572165806559951,16.673589145996345
2017,FHC,F,HC,0.837411118558993,-2.6938155485267146,-5.178957882470456,-2.4851423339437417
2020,TLM,T,LM,0.17410463282401,26.422132512069254,-6.9042783419344005,-33.326410854003655
2018,SLC,S,LC,0.101110045733669,-2.1789578824704563,1.003995338771432,3.1829532212418883
2019,GHM,G,HM,0.421669313736423,13.003995338771432,1.422132512069254,-11.581862826702178
2020,DLC,D,LC,0.330755633423705,18.422132512069254,10.0957216580656,-8.326410854003655
2018,JHM,J,HM,0.303414588374707,-18.178957882470456,4.003995338771432,22.18295322124189
2018,GHC,G,HC,0.318846353514787,4.821042117529544,21.003995338771432,16.18295322124189
2017,GLC,G,LC,0.109581882992084,-14.693815548526715,-7.178957882470456,7.514857666056258
2017,GLM,G,LM,0.176052612621135,10.306184451473285,-1.1789578824704563,-11.485142333943742
2018,D8H2C,D,HC,0.0819855582896404,51.821042117529544,-22.996004661228568,-74.81704677875811
2019,D8H2C,D,HC,0.174874637538708,-1.996004661228568,58.422132512069254,60.41813717329782
2020,OHC,O,HC,0.101443678043665,-6.577867487930746,18.0957216580656,24.673589145996345
2017,D1H2C,D,HC,0.26405444850482,14.306184451473285,-10.178957882470456,-24.48514233394374
2019,GLC,G,LC,0.107137728400658,7.003995338771432,4.422132512069254,-2.581862826702178
2018,MHM,M,HM,0.471032792850177,-5.178957882470456,3.003995338771432,8.182953221241888
2020,D7H2C,D,HC,0.393267740762234,0.42213251206925406,4.0957216580655995,3.6735891459963455
2017,D8H2C,D,HC,0.246144930863775,-13.693815548526715,-8.178957882470456,5.514857666056258
2018,AHM,A,HM,0.314447362724903,-12.178957882470456,-3.996004661228568,8.182953221241888
2017,MHC,M,HC,0.116440007824999,0.30618445147328543,-3.1789578824704563,-3.4851423339437417
2018,DLM,D,LM,0.413000107744562,-8.178957882470456,7.003995338771432,15.182953221241888
2017,OHC,O,HC,0.336004480596394,-4.693815548526715,-5.178957882470456,-0.48514233394374173
2020,AHC,A,HC,0.149538827967844,1.422132512069254,6.0957216580655995,4.6735891459963455
2018,D3H2C,D,HC,0.358771742159846,-4.178957882470456,-13.996004661228568,-9.817046778758112
2019,BLM,B,LM,-0.00624958941700204,-26.996004661228568,-11.577867487930746,15.418137173297822
2020,NHC,N,HC,0.111498578241578,1.422132512069254,12.0957216580656,10.673589145996345
2020,HHM,H,HM,0.361703927004588,-5.577867487930746,-3.9042783419344005,1.6735891459963455
