plot,years,condition,outbreak,herbi,shift,shift_herbi
HHM,2020-2021,HM,0.0,0.144022597679701,-0.0660658183124261,-0.0467616973362784
NLC,2017-2018,LC,0.0,-0.000683525416858677,0.016591184470989,0.506117005121296
JLC,2017-2018,LC,0.0,0.261093368068898,-0.179265045779654,-0.015791613876068
SHM,2020-2021,HM,0.0,0.214479444975842,-0.48843922349709,0.354512438482523
DHC,2018-2019,HC,1.0,0.230339811063755,0.307931240697091,0.163888887917809
BHM,2018-2019,HM,0.0,0.218386332506586,0.356426585526502,0.019537914030594
HLM,2018-2019,LM,0.0,0.18069174007795,0.00510226791433999,-0.060781292902717
GLM,2017-2018,LM,0.0,0.288970957930425,-0.165749035657853,0.131104984603348
NLM,2020-2021,LM,0.0,0.0717047336328351,-0.355368992585234,0.52091576005834
NHM,2017-2018,HM,0.0,0.15800239616926,0.233357339184948,-0.17077087894815
ALM,2020-2021,LM,0.0,0.145728137195307,0.25005296243457,-0.017616575964787
NLC,2020-2021,LC,0.0,0.132516172906293,0.16590008904925,0.23744714737224
SLM,2019-2020,LM,0.0,0.279014818958938,0.144444064275967,-0.1661766097843
OHM,2017-2018,HM,0.0,0.295552091452502,0.0355795716529002,-0.081974733876186
D1,2019-2020,HC,1.0,0.276665329173102,-0.455116610990348,0.020449335945336
FLM,2019-2020,LM,0.0,0.32051519624713,-0.0409381262140061,-0.15639666443276
BLC,2017-2018,LC,0.0,0.0790877057552801,0.41329854604308,0.36230476334423
BLM,2017-2018,LM,0.0,0.187899122588091,-0.050815244969341,-0.205065391176571
OHC,2017-2018,HC,1.0,0.576742601600675,-0.20986252434335,-0.33094206678855
HHM,2018-2019,HM,0.0,0.542576907907154,-0.17106285478472,-0.474818264468227
JLM,2018-2019,LM,0.0,-0.00705423081785361,0.0522786241633,0.26823042592601
OLC,2019-2020,LC,0.0,-0.0115525218393118,0.411167384282308,0.280988390370675
D8,2019-2020,HC,1.0,0.230035215716236,-0.177005941416238,-0.18174875950864
JLC,2017-2018,LC,0.0,0.343609846029294,0.0504653446279941,0.142511889196296
GLC,2019-2020,LC,0.0,0.293504333618817,0.25402692024496,-0.099036818023371
THM,2017-2018,HM,0.0,0.300115008887077,-0.3279773917228,0.050574079915309
OLC,2020-2021,LC,0.0,0.294963493928315,0.301400916280918,0.162100720730066
JLM,2020-2021,LM,0.0,0.355611029541791,-0.166298746768666,-0.306370234922628
FHC,2020-2021,HC,1.0,0.288427295610918,-0.325013207433778,-0.195991202122942
