years,n_plots,mean_slope_delay,mean_slope_reduction,median_slope_delay,median_slope_reduction
2017-2018,60,-0.272,0.194,-0.278,0.2
2018-2019,60,-0.326,0.247,-0.354,0.248
2019-2020,60,-0.263,0.217,-0.26,0.208
2020-2021,60,-0.266,0.211,-0.258,0.208
