year_pair,n_delayed_pixels,mean_pct_change_herbivory,median_pct_change
2017-2018,14531,-161.57,-11.55
2018-2019,11847,-65.78,-15.11
2019-2020,14944,-12.88,-17.67
2020-2021,13971,19.29,-34.87
