modalidad,subset,mediana,iqr_lwr,iqr_upr
RNA (LT-HSC vs MPP/LMPP),HSC-I,0.996851395911788,0.487826208427125,1.55354476368537
RNA (LT-HSC vs MPP/LMPP),MPP-MyLy,0.116159584448465,-0.297206615180578,0.555981220853768
RNA (LT-HSC vs MPP/LMPP),LMPP-I,-0.791955545624393,-1.16325921391557,-0.397221071285946
RNA (LT-HSC vs MPP/LMPP),HSC-II,0.487745551607686,-0.00349480719049723,1.08634013708026
RNA (LT-HSC vs MPP/LMPP),MPP-II,-0.528933657431161,-0.93592796832446,-0.0856437777899476
RNA (LT-HSC vs MPP/LMPP),LMPP-II,-1.05981684298401,-1.3726039887716,-0.719364408128561
Cromatina (ATAC LT-HSC),HSC-I,0.687105157419833,0.143700836984513,1.23981921803674
Cromatina (ATAC LT-HSC),MPP-MyLy,0.0945285859781018,-0.444956883484429,0.612149407665707
Cromatina (ATAC LT-HSC),LMPP-I,-0.660970461522281,-1.22533648478333,-0.116856642668027
Cromatina (ATAC LT-HSC),HSC-II,0.511946573616327,-0.0458043357448891,1.0849660176577
Cromatina (ATAC LT-HSC),MPP-II,-0.0735674427456,-0.545222376319725,0.463912805688527
Cromatina (ATAC LT-HSC),LMPP-II,-0.707826056535468,-1.22586918008654,-0.228418183980122
