modelo,familia,params,tokens_entrenamiento,alineacion,exact_match,perf_global,arc_c,arc_e,boolq,csqa,hellaswag,openbookqa,piqa,winogrande
llama3_8b,llama3,8030261248,15000000000000.0,0.7366080155234236,0.8184636118598384,0.6452476463325559,0.5042662116040956,0.8009259259259259,0.8162079510703364,0.6306306306306306,0.5512846046604262,0.336,0.8052230685527747,0.7174427782162589
mistral0v1_8x7b,mistral,46702792704,2000000000000.0,0.7227845024910812,0.85,0.6753175077971911,0.5656996587030717,0.8409090909090909,0.8452599388379205,0.6306306306306306,0.5994821748655647,0.354,0.8199129488574538,0.7466456195737964
gemma2_9b,gemma,10159209984,8000000000000.0,0.7151067906834778,0.8357142857142857,0.6941183909738847,0.6168941979522184,0.8733164983164983,0.8535168195718654,0.6814086814086814,0.5769766978689504,0.396,0.8073993471164309,0.7474348855564326
llama2_13b,llama2,13015864320,2000000000000.0,0.6914917431007594,0.8252021563342318,0.633365028060683,0.4846416382252559,0.7941919191919192,0.7972477064220184,0.61998361998362,0.5488946425014938,0.328,0.7883569096844396,0.7056037884767167
mistral0v3_7b,mistral,7248023552,2000000000000.0,0.6762012878858157,0.7907008086253369,0.6371256243643142,0.4889078498293515,0.7954545454545454,0.810091743119266,0.6208026208026208,0.5601473809998009,0.324,0.8030467899891186,0.6945540647198106
qwen2_7b,qwen,7615616512,7000000000000.0,0.6632209594426536,0.7564690026954178,0.6280045609350997,0.4880546075085324,0.7916666666666666,0.8498470948012232,0.5290745290745291,0.5664210316669986,0.338,0.7932535364526659,0.6677190213101816
qwen1v5_4b,qwen,3950369280,3000000000000.0,0.62319892180193,0.6346361185983828,0.5624421247896212,0.3839590443686007,0.6813973063973064,0.7810397553516819,0.484029484029484,0.4973112925712009,0.292,0.764961915125136,0.6148382004735596
llama_13b,llama,13015864320,1000000000000.0,0.6219530063806598,0.7754716981132075,0.6205226922992236,0.4641638225255973,0.7735690235690236,0.7556574923547401,0.5995085995085995,0.5539733120892253,0.316,0.7878128400435256,0.7134964483030781
qwen1v5_7b,qwen,7721324544,3000000000000.0,0.6066090460632234,0.7106469002695418,0.5774455414727825,0.4061433447098976,0.7079124579124579,0.8293577981651377,0.4348894348894349,0.550687114120693,0.284,0.779107725788901,0.6274664561957379
llama_7b,llama,6738415616,1000000000000.0,0.6011150485558003,0.7381401617250674,0.5943629516668414,0.4189419795221843,0.7529461279461279,0.7204892966360856,0.5806715806715806,0.5185222067317268,0.294,0.7834602829162133,0.6858721389108129
gemma2_2b,gemma,3204165888,2000000000000.0,0.6000319837814191,0.73544474393531,0.6162103872179527,0.4684300341296928,0.8021885521885522,0.6957186544342507,0.6502866502866503,0.5147380999800837,0.354,0.7829162132752993,0.6614048934490924
neo_7b_387b97,neo,7793716224,387970000000.0,0.5902538083429283,0.6851752021563342,0.5908919605458193,0.4283276450511945,0.7575757575757576,0.7425076452599388,0.6117936117936118,0.5309699263095001,0.304,0.7584330794341676,0.5935280189423836
pythia_12b,pythia,11846072320,299892736000.0,0.5854393360571775,0.6522911051212938,0.5438976231455077,0.3387372013651877,0.7037037037037037,0.6626911314984709,0.5085995085995086,0.4725154351722764,0.274,0.7595212187159956,0.6314127861089187
neo_7b,neo,7793716224,4500000000000.0,0.5840761923457454,0.7044474393530997,0.6048728562572361,0.4488054607508532,0.7655723905723906,0.7486238532110092,0.6355446355446356,0.5427205735909182,0.326,0.7671381936887922,0.6045777426992897
neo_7b_723b52,neo,7793716224,723520000000.0,0.5840761923457454,0.7044474393530997,0.6048728562572361,0.4488054607508532,0.7655723905723906,0.7486238532110092,0.6355446355446356,0.5427205735909182,0.326,0.7671381936887922,0.6045777426992897
neo_7b_681b57,neo,7793716224,681570000000.0,0.5810222154657916,0.7064690026954178,0.6024445308938079,0.4453924914675768,0.7622053872053872,0.7498470948012232,0.6158886158886159,0.5402310296753635,0.33,0.7611534276387377,0.6148382004735596
neo_7b_524b29,neo,7793716224,524290000000.0,0.5806005041271994,0.7014824797843666,0.6013640553036872,0.4556313993174061,0.7638888888888888,0.7415902140672783,0.6404586404586404,0.5354511053574985,0.312,0.764417845484222,0.5974743488555643
llama2_7b,llama2,6738415616,2000000000000.0,0.5777216397642432,0.7533692722371967,0.598971947449695,0.4343003412969283,0.7634680134680135,0.7214067278287462,0.5872235872235873,0.5259908384783908,0.306,0.778563656147987,0.6748224151539068
neo_7b_157b29,neo,7793716224,157290000000.0,0.5743336560438571,0.6512129380053908,0.5960867153910648,0.4300341296928328,0.7563131313131313,0.7617737003058104,0.628992628992629,0.5148376817367059,0.306,0.7535364526659413,0.6172059984214681
neo_7b_83b89,neo,7793716224,83890000000.0,0.5651467343814371,0.6447439353099731,0.5742328949639752,0.4112627986348123,0.7218013468013468,0.7128440366972477,0.6248976248976249,0.4990041824337781,0.294,0.7562568008705114,0.5737963693764798
pythia_6b9_96000s,pythia,6857302016,201326592000.0,0.5638799829528673,0.5815363881401617,0.5176902315833415,0.3242320819112628,0.664983164983165,0.6577981651376147,0.4914004914004914,0.441346345349532,0.228,0.7410228509249184,0.5927387529597474
pythia_6b9,pythia,6857302016,299892736000.0,0.5625419738056066,0.6203504043126685,0.5299610147237197,0.3293515358361775,0.6843434343434344,0.6599388379204894,0.5085995085995086,0.4577773351921927,0.25,0.7529923830250272,0.5966850828729282
falcon_7b,falcon,7217189760,1500000000000.0,0.5614334109980096,0.7365229110512129,0.5917183499418536,0.401877133105802,0.7466329966329966,0.7204892966360856,0.5773955773955773,0.533061143198566,0.29,0.7981501632208923,0.6661404893449092
pythia_6b9_128000s,pythia,6857302016,268435456000.0,0.5598153638271735,0.6202156334231806,0.5276911095153379,0.3327645051194539,0.6792929292929293,0.6636085626911316,0.4971334971334971,0.4505078669587731,0.26,0.7486398258977149,0.5895816890292028
qwen2_1b5,qwen,1777088000,7000000000000.0,0.559207797778165,0.5495956873315364,0.5346414004028096,0.3370307167235495,0.6620370370370371,0.7269113149847095,0.457002457002457,0.4646484763991236,0.274,0.7540805223068553,0.601420678768745
neo_7b_20b97,neo,7793716224,20970000000.0,0.5573464280466272,0.6053908355795148,0.5544633719063721,0.3600682593856655,0.702020202020202,0.710091743119266,0.5888615888615889,0.4805815574586736,0.284,0.7410228509249184,0.569060773480663
neo_7b_251b66,neo,7793716224,251660000000.0,0.5533067635618042,0.6450134770889487,0.5803438354269357,0.4249146757679181,0.7335858585858586,0.710703363914373,0.5872235872235873,0.5164309898426608,0.3,0.7676822633297062,0.6022099447513812
phi2,phi,2779683840,1400000000000.0,0.5510719734915266,0.6595687331536387,0.6480105586512421,0.5307167235494881,0.7992424242424242,0.8305810397553517,0.5995085995085995,0.525592511451902,0.39,0.780739934711643,0.7277032359905288
qwen2_0b5,qwen,630167424,12000000000000.0,0.5484636328866079,0.3407008086253369,0.4477253315291887,0.2525597269624573,0.5509259259259259,0.6079510703363914,0.361998361998362,0.3661621190997809,0.208,0.6817192600652884,0.5524861878453039
neo_7b_41b94,neo,7793716224,41940000000.0,0.5479450121383996,0.6175202156334232,0.5650939181609076,0.3873720136518771,0.7297979797979798,0.6960244648318042,0.5962325962325963,0.4807807209719179,0.296,0.7568008705114254,0.5777426992896606
pythia_6b9_64000s,pythia,6857302016,134217728000.0,0.5417215384515499,0.5247978436657682,0.4809221675790767,0.3020477815699658,0.6418350168350169,0.5330275229357798,0.4602784602784602,0.4190400318661621,0.208,0.7219804134929271,0.5611681136543015
opt_6b7,opt,6864388096,180000000000.0,0.5413651541931033,0.5629380053908355,0.5233814798548877,0.3037542662116041,0.6607744107744108,0.6458715596330276,0.5012285012285013,0.4607647878908584,0.228,0.76550598476605,0.6211523283346487
pythia_6b9_48000s,pythia,6857302016,100663296000.0,0.5315164882911707,0.503099730458221,0.4839442463204537,0.2875426621160409,0.6287878787878788,0.5981651376146789,0.4553644553644553,0.4095797649870544,0.206,0.7241566920565833,0.5619573796369376
pythia_1b,pythia,1011781632,299892736000.0,0.5305848564737005,0.3512129380053908,0.4494936513011279,0.2448805460750853,0.5845959595959596,0.5902140672782875,0.3906633906633907,0.3626767576180044,0.19,0.6985854189336235,0.5343330702446725
qwen1v5_1b8,qwen,1836828672,3000000000000.0,0.5294806583769162,0.4412398921832884,0.5154122013792212,0.3242320819112628,0.648989898989899,0.6896024464831805,0.4635544635544635,0.4344752041426011,0.228,0.7377584330794341,0.5966850828729282
olmo1v7_7b_528b,olmo,6888095744,528000000000.0,0.5293523843307402,0.6473045822102426,0.5488608360946426,0.3267918088737201,0.6877104377104377,0.6626911314984709,0.5872235872235873,0.492033459470225,0.272,0.764961915125136,0.5974743488555643
phi1v5,phi,1418270720,30000000000.0,0.522215828262027,0.5475741239892183,0.5911996573742754,0.447098976109215,0.7622053872053872,0.7217125382262997,0.556920556920557,0.4396534554869548,0.358,0.7573449401523396,0.6866614048934491
pythia_1b4,pythia,1414647808,299892736000.0,0.5220175218072682,0.476010781671159,0.4720104771582469,0.2704778156996587,0.6178451178451179,0.6055045871559633,0.4250614250614251,0.3903604859589723,0.198,0.7187159956474428,0.5501183898973955
olmo1v7_7b_825b,olmo,6888095744,825000000000.0,0.52017751366365,0.6424528301886793,0.571300972889258,0.3617747440273037,0.7163299663299664,0.6782874617737003,0.6216216216216216,0.5111531567416849,0.284,0.7752992383025027,0.6219415943172849
qwen1v5_0b5,qwen,619570176,3000000000000.0,0.5199405618650137,0.3450134770889487,0.4458196212916399,0.2542662116040955,0.5765993265993266,0.5510703363914373,0.38001638001638,0.3679545907189803,0.192,0.6953210010881393,0.5493291239147593
