modelo,familia,params,n_demostraciones,accuracy_probing
falcon_11b,falcon,11102822400,24,0.8191374663072777
falcon_7b,falcon,7217189760,24,0.7432614555256064
gemma2_2b,gemma,3204165888,24,0.7405660377358491
gemma2_9b,gemma,10159209984,24,0.8392183288409705
llama2_13b,llama2,13015864320,24,0.8296495956873315
llama2_7b,llama2,6738415616,24,0.7587601078167117
llama3_70b,llama3,70553706496,24,0.8944743935309972
llama3_8b,llama3,8030261248,24,0.8258760107816713
llama_13b,llama,13015864320,24,0.7800539083557951
llama_7b,llama,6738415616,24,0.7416442048517521
mistral0v1_8x7b,mistral,46702792704,24,0.8549865229110513
mistral0v3_7b,mistral,7248023552,24,0.7971698113207547
neo_7b,neo,7793716224,24,0.7121293800539084
olmo1v7_7b,olmo,6888095744,24,0.7057951482479784
olmo_1b,olmo,1279787008,24,0.5227762803234501
opt_1b3,opt,1418715136,24,0.3456873315363881
opt_2b7,opt,2780293120,24,0.4774932614555256
opt_350m,opt,356935680,24,0.0774932614555256
opt_6b7,opt,6864388096,24,0.5692722371967655
phi1v5,phi,1418270720,24,0.5579514824797844
phi2,phi,2779683840,24,0.6649595687331536
pythia_12b,pythia,11846072320,24,0.6587601078167116
pythia_160m,pythia,162322944,24,0.0876010781671159
pythia_1b,pythia,1011781632,24,0.3613207547169811
pythia_1b4,pythia,1414647808,24,0.4877358490566038
pythia_2b8,pythia,2775208960,24,0.526010781671159
pythia_410m,pythia,405334016,24,0.2512129380053908
pythia_6b9,pythia,6857302016,24,0.6277628032345014
pythia_70m,pythia,70426624,24,0.0043126684636118
qwen1v5_0b5,qwen,619570176,24,0.354177897574124
qwen1v5_1b8,qwen,1836828672,24,0.450943396226415
qwen1v5_4b,qwen,3950369280,24,0.644743935309973
qwen1v5_7b,qwen,7721324544,24,0.7185983827493262
qwen2_0b5,qwen,630167424,24,0.3540431266846361
qwen2_1b5,qwen,1777088000,24,0.5611859838274933
qwen2_7b,qwen,7615616512,24,0.7630727762803234
