eje,dominio,atributo,noise_ceiling,noise_ceiling_se
animals_size,animals,size,0.9918215366878401,0.0017032137842405387
professions_wealth,professions,wealth,0.9915642584365847,0.002524359622840535
animals_weight,animals,weight,0.9875202520426432,0.003349620812912533
animals_danger,animals,danger,0.982674261022722,0.005369926718096826
weather_danger,weather,danger,0.981715412055242,0.0036673056763181916
weather_wetness,weather,wetness,0.9805558461541682,0.006138655394150566
professions_gender,professions,gender,0.9775105546450497,0.0046574696124637585
myth_size,myth,size,0.9741152757415555,0.00755073243767319
professions_age,professions,age,0.9740890985961641,0.006528058396367905
states_temperature,states,temperature,0.9738071625042325,0.007332772990663663
sports_danger,sports,danger,0.9736417502459038,0.007369732492317356
sports_gender,sports,gender,0.973542633279704,0.006640540957554194
myth_valence,myth,valence,0.9728451085145301,0.007508690121476101
clothing_gender,clothing,gender,0.9726408155682473,0.007055245780624472
professions_intelligence,professions,intelligence,0.9679732046664147,0.009864344252710275
myth_danger,myth,danger,0.9668215484168028,0.009815207986807321
weather_temperature,weather,temperature,0.9636929246995504,0.010583167876699351
myth_gender,myth,gender,0.9623011832743182,0.0077272560946328285
clothing_cost,clothing,cost,0.9621297231971745,0.009973204364612638
sports_location,sports,location,0.9616567795535711,0.006662338113183311
states_political,states,political,0.9611155514935075,0.007667371230077031
states_cost,states,cost,0.9588756874265563,0.00925562281921263
cities_cost,cities,cost,0.9587492689691474,0.008918887705742102
animals_loudness,animals,loudness,0.9569808019527675,0.015994509326743057
animals_speed,animals,speed,0.9549613779288467,0.017087012555126735
clothing_age,clothing,age,0.9543560261581839,0.010440536785808379
professions_location,professions,location,0.9535765873240465,0.012046106664363225
sports_speed,sports,speed,0.9519500863838984,0.013577345046336559
professions_danger,professions,danger,0.9511874613758798,0.01475742667985904
professions_arousal,professions,arousal,0.9503458350433797,0.012141536153200894
clothing_location,clothing,location,0.9495979999555533,0.011446324059455944
states_intelligence,states,intelligence,0.9485789705386611,0.0113686888414123
animals_intelligence,animals,intelligence,0.944842568770433,0.014372097951338947
animals_wetness,animals,wetness,0.9414636321259974,0.014293052338476827
clothing_wealth,clothing,wealth,0.9394049685962625,0.013900965635268091
names_gender,names,gender,0.9366160592133285,0.008911823287984868
states_wealth,states,wealth,0.9311954608271888,0.015785677039767222
states_size,states,size,0.9304707261097241,0.018615118754003967
cities_intelligence,cities,intelligence,0.9265032971299141,0.0210154561323382
names_age,names,age,0.9253637611313181,0.019762598843268694
cities_danger,cities,danger,0.9235099921814468,0.019920427061661233
cities_size,cities,size,0.9185792994886509,0.02638369292220509
states_religiosity,states,religiosity,0.9116810815071144,0.019903632296348756
animals_gender,animals,gender,0.9092950891979653,0.026193799968828903
cities_arousal,cities,arousal,0.9089471382648302,0.03120700018224995
cities_religiosity,cities,religiosity,0.8931268878880839,0.029080525115072687
sports_arousal,sports,arousal,0.8770087350561074,0.03391795378325096
sports_wealth,sports,wealth,0.870150689576319,0.05261704642539107
sports_intelligence,sports,intelligence,0.8632773936479414,0.04291463983591474
names_wealth,names,wealth,0.8212400240852936,0.04086350432900844
professions_valence,professions,valence,0.8069718475425763,0.05603811000675628
names_intelligence,names,intelligence,0.7823681651220442,0.05365134720933323
