bin_idx,tiempo_ns,pixel_00,pixel_01,pixel_02,pixel_03,pixel_04,pixel_05,pixel_06,pixel_07,pixel_08,pixel_09,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.75,0.0,81.13333333333333,34.43333333333334,55.73333333333332,0.0,0.0,0.0,95.58333333333334,0.0,0.0,0.0,188.76666666666668,23.133333333333326,0.0,107.83333333333333,76.06666666666666
16,0.8,16.566666666666663,0.0,15.799999999999997,63.63333333333334,0.0,0.0,174.78333333333333,0.0,0.0,0.0,0.0,0.0,7.26666666666668,89.46666666666667,0.0,103.5
17,0.8500000000000001,0.0,0.0,0.0,0.0,0.0,53.75,0.0,32.35,0.0,1.75,0.0,0.0,0.0,24.433333333333337,24.316666666666663,11.75
18,0.9,0.0,0.0,0.0,0.0,0.0,98.13333333333333,0.0,28.78333333333333,0.0,16.5,0.0,156.31666666666666,114.05000000000001,115.85,0.0,3.4000000000000057
19,0.9500000000000001,0.0,0.0,0.0,94.8,0.0,0.0,0.0,62.416666666666664,0.0,0.0,145.58333333333331,0.0,76.51666666666667,0.0,0.0,0.0
20,1.0,3.0999999999999943,0.0,164.01666666666665,104.56666666666666,0.0,0.0,29.733333333333334,0.0,0.0,0.46666666666666856,0.0,71.91666666666667,0.0,23.88333333333334,103.01666666666667,59.2
21,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.85,0.0,45.81666666666666,0.0,0.0,20.58333333333333,0.0,0.0,0.0
22,1.1,116.18333333333334,100.76666666666667,0.0,3.066666666666663,0.0,0.0,30.099999999999994,83.96666666666667,0.0,0.0,133.06666666666666,100.93333333333334,0.0,0.0,0.0,36.18333333333333
23,1.1500000000000001,0.0,0.0,0.0,21.53333333333333,0.0,0.0,0.0,0.0,0.0,128.91666666666669,0.0,0.0,0.0,0.0,0.0,4.283333333333331
24,1.2000000000000002,0.0,32.55,0.0,0.0,0.0,107.41666666666667,0.0,0.0,0.0,113.38333333333334,0.0,119.75,0.0,0.0,0.0,0.0
25,1.25,0.0,0.0,0.0,40.2,0.0,28.66666666666667,30.36666666666666,0.0,0.0,4.316666666666663,0.0,73.2,14.549999999999997,0.0,0.0,147.46666666666667
26,1.3,0.0,0.0,124.43333333333334,0.0,0.0,0.0,108.11666666666666,0.0,0.0,0.0,0.0,0.0,0.0,78.23333333333333,0.0,37.55
27,1.35,0.0,69.6,0.0,0.0,0.0,0.0,0.0,0.13333333333333286,0.0,53.21666666666667,0.0,0.0,162.76666666666665,3.0,0.0,48.483333333333334
28,1.4000000000000001,98.48333333333333,0.0,105.06666666666666,23.916666666666664,0.0,14.150000000000006,163.36666666666667,52.233333333333334,0.0,58.21666666666667,0.0,0.0,13.516666666666666,0.0,19.599999999999994,0.9833333333333343
29,1.4500000000000002,0.0,166.13333333333333,0.0,0.0,0.0,0.0,167.9,83.75,0.0,0.0,21.25,57.53333333333333,5.216666666666669,0.0,102.18333333333334,131.61666666666667
30,1.5,0.0,0.0,0.0,0.0,0.0,0.0,30.25,0.0,0.0,28.733333333333334,0.0,114.96666666666667,0.0,0.0,0.0,7.066666666666663
31,1.55,22.266666666666666,0.0,0.0,154.9,0.0,0.0,173.76666666666665,0.0,0.0,0.0,0.0,23.41666666666667,0.0,0.0,0.0,0.0
32,1.6,0.0,0.0,103.13333333333334,69.18333333333334,0.0,9.299999999999997,0.0,0.0,0.0,0.0,0.0,187.95,72.48333333333333,0.0,20.566666666666663,176.7
33,1.6500000000000001,0.0,4.86666666666666,0.0,0.0,0.0,0.0,145.8,0.0,0.0,0.0,0.0,0.0,82.23333333333333,0.0,49.8,0.0
34,1.7000000000000002,0.0,0.0,0.0,104.8,0.0,0.0,0.0,86.2,0.0,0.0,0.0,0.0,42.91666666666667,21.66666666666667,0.0,118.36666666666667
35,1.75,37.28333333333333,0.0,0.0,0.0,0.0,0.0,0.0,37.25,0.0,0.0,39.93333333333334,0.0,0.0,27.833333333333336,0.0,0.0
36,1.8,18.450000000000003,0.0,0.0,0.0,0.0,3.700000000000003,0.0,0.0,0.0,133.7,0.0,0.0,78.71666666666667,0.0,0.0,0.0
37,1.85,0.0,0.0,0.0,0.0,0.0,0.0,65.58333333333333,21.53333333333333,0.0,176.41666666666669,5.783333333333331,40.2,6.666666666666664,0.0,0.0,31.96666666666667
