training_data_pct,us_auroc,mm_auroc,mri_auroc,two_stage_auroc
10,0.723,0.87,0.862,0.863
25,0.809,0.887,0.898,0.894
50,0.84,0.899,0.941,0.917
75,0.889,0.901,0.945,0.961
100,0.912,0.913,0.953,0.973
