no,barcode,d0,d1,d2,d3,digit_sum,n_nonzero
1,0040,0,0,4,0,4,1
2,1030,1,0,3,0,4,2
3,2020,2,0,2,0,4,2
4,3010,3,0,1,0,4,2
5,4000,4,0,0,0,4,1
6,3100,3,1,0,0,4,2
7,2200,2,2,0,0,4,2
8,1300,1,3,0,0,4,2
9,0400,0,4,0,0,4,1
10,0310,0,3,1,0,4,2
11,0220,0,2,2,0,4,2
12,0130,0,1,3,0,4,2
13,1120,1,1,2,0,4,3
14,2110,2,1,1,0,4,3
15,1210,1,2,1,0,4,3
16,0041,0,0,4,1,5,2
17,1031,1,0,3,1,5,3
18,2021,2,0,2,1,5,3
19,3011,3,0,1,1,5,3
20,4001,4,0,0,1,5,2
21,3101,3,1,0,1,5,3
22,2201,2,2,0,1,5,3
23,1301,1,3,0,1,5,3
24,0401,0,4,0,1,5,2
25,0311,0,3,1,1,5,3
26,0221,0,2,2,1,5,3
27,0131,0,1,3,1,5,3
28,1121,1,1,2,1,5,4
29,2111,2,1,1,1,5,4
30,1211,1,2,1,1,5,4
31,0001,0,0,0,1,1,1
