gene,n_probes
CD3D,3
CD4,3
CD8A,3
Foxp3,3
PDCD1,3
CTLA4,3
CXCL13,3
CD79A,3
GZMB,3
GZMA,3
PRF1,3
SLC4A10,3
C1QA,3
LYVE1,3
CPA3,3
LILRA4,3
CLEC9A,3
CD1C,3
CSF3R,3
S100A8,3
FCGR3A,3
MS4A1,3
MZB1,3
NCAM1,3
PECAM1,3
ACTA2,3
AFP,3
GPC3,3
EPCAM,3
MKI67,3
HBX,1
