z_inicial_a,masa_inicial_a,z_100myr_a,masa_100myr_a,z_inicial_b,masa_inicial_b,z_100myr_b,masa_100myr_b,z_inicial_c,masa_inicial_c,z_100myr_c,masa_100myr_c
1,0,0.999999998994232,0,1,0,1,0,1,0,1,0
1,0.0114626016672406,0.999999998994232,0.0105346940577359,1,0.0114626016672406,1,0.0111888391959451,1,0.0114626016672406,1,0.0104828203409591
1,0.032468310965575,0.999999998994232,0.0298626198314403,1,0.032468310965575,1,0.0316852468336568,1,0.032468310965575,1,0.0297149799338896
1,0.0596367619313864,0.999999998994232,0.054978268654733,1,0.0596367619313864,1,0.0582661240845942,1,0.0596367619313864,1,0.0547072005436387
1,0.0917765310106195,0.999999998994232,0.0848027130282505,1,0.0917765310106195,1,0.0897741835165564,1,0.0917765310106195,1,0.084387002987845
1,0.128189636587296,0.999999998994233,0.118706386879322,1,0.128189636587296,1,0.125532729225662,1,0.128189636587296,1,0.118129075855629
1,0.168399553013114,0.999999998994233,0.156257792817414,1,0.168399553013114,1,0.165078086620321,1,0.168399553013114,1,0.155505175008498
1,0.212051669265231,0.999999998994232,0.197133909162133,1,0.212051669265231,1,0.208063574966734,1,0.212051669265231,1,0.196194941594198
1,0.258866919333979,0.999999998994232,0.241078768803106,1,0.258866919333979,1,0.254214983497822,1,0.258866919333979,1,0.239944674053363
1,0.308616796264535,0.999999998994232,0.287881259700232,1,0.308616796264535,1,0.303306646509607,1,0.308616796264535,1,0.286545236716252
1,0.361108511800641,0.999999998994233,0.337361992799295,1,0.361108511800641,1,0.355147256169009,1,0.361108511800641,1,0.335818996253378
1,0.416175538379501,0.999999998994232,0.3893649565308,1,0.416175538379501,1,0.409570826811836,1,0.416175538379501,1,0.387611522872504
1,0.473671248025015,0.999999998994233,0.443751915102391,1,0.473671248025015,1,0.466430616825196,1,0.473671248025015,1,0.441786022357497
1,0.533464446916444,0.999999998994233,0.500398479104342,1,0.533464446916444,1,0.525594858000579,1,0.533464446916444,1,0.498219425501432
1,0.595436128348578,0.999999998994233,0.559191247634581,1,0.595436128348578,1,0.586943645344121,1,0.595436128348578,1,0.556799554276285
1,0.659477040222647,0.999999998994232,0.62002566688206,1,0.659477040222647,1,0.650366602252485,1,0.659477040222647,1,0.617423013936216
1,0.725485814931858,0.999999998994232,0.682804381651191,1,0.725485814931858,1,0.715761081003085,1,0.725485814931858,1,0.679993553273354
1,0.79336749805916,0.999999998994232,0.747435936760777,1,0.79336749805916,1,0.783030742996832,1,0.79336749805916,1,0.744420776672466
1,0.863032366214549,0.999999998994233,0.813833730630661,1,0.863032366214549,1,0.852084414538842,1,0.863032366214549,1,0.810619109683224
1,0.934394958351189,0.999999998994232,0.881915161060991,1,0.934394958351189,1,0.922835146291322,1,0.934394958351189,1,0.878506950243367
1,1.00737326702573,0.999999998994232,0.951600908917106,1,1.00737326702573,1,0.99519942555201,1,1.00737326702573,1,0.948005959183898
1,1.08188805084792,0.999999998994233,1.02281432475529,1,1.08188805084792,1,1.0690965045389,1,1.08188805084792,1,1.01904045831967
