taxon,pc1,pc2,group,age,pc1_var_pct,pc2_var_pct
Cirroteuthis muelleri,-0.0836606128371616,-0.0506826779094594,cirrate,modern,50.1427807530791,30.933709953115
Cirrothauma magna,-0.0753560810523625,0.10843250030817,cirrate,modern,50.1427807530791,30.933709953115
Stauroteuthis syrtensis,-0.161506667433935,-0.0334193150798467,cirrate,modern,50.1427807530791,30.933709953115
Cirroctopus glacialis,-0.0778118375782915,0.0863307697400266,cirrate,modern,50.1427807530791,30.933709953115
Cirroctopus hochbergi,-0.0599631057369917,0.0295107537803047,cirrate,modern,50.1427807530791,30.933709953115
Grimpoteuthis boylei,-0.0643629667475601,0.131847658052366,cirrate,modern,50.1427807530791,30.933709953115
Grimpoteuthis discoveryi,-0.0458438609485609,0.106474079989874,cirrate,modern,50.1427807530791,30.933709953115
Opisthoteuthis californiana,-0.0782078188636974,0.0433402920596558,cirrate,modern,50.1427807530791,30.933709953115
Opisthoteuthis bruuni,-0.121829483009617,0.0517233959652603,cirrate,modern,50.1427807530791,30.933709953115
Octopus bimaculatus,0.125775383307873,0.171800140211423,incirrate_benthic,modern,50.1427807530791,30.933709953115
Octopus cyanea,0.11545762805625,0.174065260440315,incirrate_benthic,modern,50.1427807530791,30.933709953115
Amphitretus pelagicus,0.194194879798801,-0.142713394330567,incirrate_pelagic,modern,50.1427807530791,30.933709953115
Japetella diaphana,0.241086658141905,-0.173672613061737,incirrate_pelagic,modern,50.1427807530791,30.933709953115
Vitreledonella richardi,0.211964880211665,-0.169904412511064,incirrate_pelagic,modern,50.1427807530791,30.933709953115
Argonauta argo,0.16919632935177,-0.0171855355232431,incirrate_pelagic,modern,50.1427807530791,30.933709953115
Haliphron atlanticus,0.0517524114237194,0.0703584953061315,incirrate_pelagic,modern,50.1427807530791,30.933709953115
Ocythoe tuberculata,0.191711878410984,0.0867266541752791,incirrate_pelagic,modern,50.1427807530791,30.933709953115
Tremoctopus gracilis,0.104053865552237,-0.186843698117302,incirrate_pelagic,modern,50.1427807530791,30.933709953115
Vampyroteuthis infernalis,-0.377292814128638,-0.243582793403191,outgroup_vampyromorph,modern,50.1427807530791,30.933709953115
Nanaimoteuthis jeletzkyi,-0.143735221098675,0.0275637474749784,fossil_cretaceous,fossil,50.1427807530791,30.933709953115
Nanaimoteuthis haggarti,-0.115623444819714,-0.0701693075673737,fossil_cretaceous,fossil,50.1427807530791,30.933709953115
