anatomy,finding,center_a_auc,center_b_auc,center_c_auc,center_d_auc,center_e_auc,center_f_auc,center_g_auc,center_h_auc
Liver,Undulating contour,0.972,0.968,0.932,0.985,0.912,0.982,0.956,0.934
Liver,Intrahepatic cholangiocarcinoma,0.958,,0.925,,,0.937,0.956,0.982
Liver,Cirrhosis,0.977,0.922,0.953,0.995,0.905,0.988,0.924,0.943
Liver,Periportal edema,0.927,,0.905,,,0.944,0.95,
Liver,Steatotic liver disease,0.937,0.963,0.935,0.948,0.894,0.946,0.917,0.894
Liver,Hepatocellular carcinoma,0.936,0.974,0.931,0.966,0.863,0.964,0.931,0.879
Liver,Metastasis,0.973,0.981,0.956,0.967,0.93,0.937,0.926,0.861
Liver,Intrahepatic bile duct dilatation,0.973,0.944,0.949,0.968,0.918,0.929,0.908,0.908
Liver,Intrahepatic calcification,0.9,0.905,0.899,0.895,0.874,0.834,0.845,0.802
Liver,Cyst,0.939,0.923,0.927,0.931,0.903,0.891,0.879,0.823
Liver,Hypoattenuating lesion,0.894,0.868,0.876,0.855,0.897,0.818,0.802,0.808
Liver,Irregular margin,0.931,0.916,0.903,0.892,0.807,0.922,0.891,0.917
Liver,Hyperattenuating lesion in intrahepatic bile ducts,0.955,,0.852,,,,0.891,
Liver,Hepatolithiasis,0.984,,0.948,,0.809,0.876,0.963,
Liver,Abscess,0.886,,0.883,,0.868,0.946,0.849,0.841
Liver,Nodular enhancement,0.859,0.835,0.852,0.89,0.838,0.778,0.796,0.748
Liver,Lobar volume disproportion,0.839,0.902,0.851,0.896,0.86,0.857,0.872,0.79
Liver,Hemangioma,0.896,0.859,0.873,0.873,0.748,0.798,0.819,0.763
Gallbladder,Cholangiocarcinoma,0.97,,0.965,,,,0.965,
Gallbladder,Gallbladder cancer,,,0.93,,,,0.989,
Gallbladder,Pneumobilia,,,0.998,,,0.996,0.967,
Gallbladder,Xanthogranuloma,,,,,,,,
Gallbladder,Cholecystolithiasis,0.979,0.968,0.965,0.986,0.967,0.966,0.949,0.894
Gallbladder,Hyperattenuating lesion,0.929,0.921,0.934,0.922,0.89,0.914,0.88,0.807
Gallbladder,Nodular stone-like hyperattenuating lesion,0.925,0.927,0.921,0.891,0.96,0.918,0.881,0.826
Gallbladder,Extrahepatic bile duct dilatation,0.877,0.925,0.917,0.939,0.794,0.852,0.761,0.882
Gallbladder,Cholecystitis,0.915,0.915,0.897,0.93,0.86,0.893,0.865,0.791
