anatomy,finding,internal,external_a,external_b,external_c,external_d,external_e,external_f,external_g,external_h,emergency,reader_study
Liver,Hypoattenuating lesion,22111,2214,436,2607,336,362,865,3734,948,0,0
Liver,Cyst,16738,1606,275,1826,189,209,644,2897,569,0,89
Liver,Nodular enhancement,5517,497,121,720,104,100,231,967,309,0,0
Liver,Intrahepatic calcification,4673,266,110,405,25,29,303,713,240,0,0
Liver,Steatotic liver disease,3531,508,83,590,78,16,206,808,182,0,22
Liver,Lobar volume disproportion,3484,404,33,488,38,127,99,401,173,0,48
Liver,Hemangioma,3458,303,72,469,77,59,160,555,193,0,21
Liver,Intrahepatic bile duct dilatation,2933,170,53,336,48,29,100,682,106,0,38
Liver,Metastasis,2024,103,27,177,18,56,45,321,121,0,26
Liver,Irregular margin,1254,152,33,167,22,55,43,184,61,0,0
Liver,Cirrhosis,958,117,20,174,13,50,26,203,47,0,33
Liver,Undulating contour,731,9,17,16,5,31,8,114,15,0,0
Liver,Periportal edema,562,7,0,17,0,0,13,52,0,0,0
Liver,Hepatocellular carcinoma,173,20,12,46,15,14,14,70,32,0,16
Liver,Intrahepatic cholangiocarcinoma,131,12,0,25,0,0,6,30,5,0,14
Liver,Hepatolithiasis,109,26,0,24,0,6,8,55,0,0,16
Liver,Hyperattenuating lesion in intrahepatic bile ducts,94,25,0,24,0,0,0,59,0,0,0
Liver,Abscess,73,18,0,20,0,9,5,28,13,356,0
Gallbladder,Hyperattenuating lesion,5240,615,111,677,101,71,193,1019,239,0,0
Gallbladder,Cholecystolithiasis,4931,570,109,654,88,66,184,983,213,3729,28
Gallbladder,Cholecystitis,3117,324,119,165,37,113,130,778,273,3151,31
Gallbladder,Nodular stone-like hyperattenuating lesion,1833,165,55,260,20,13,66,204,15,0,7
Gallbladder,Adenomyomatosis,1821,30,17,181,6,0,85,106,0,0,0
Gallbladder,Extrahepatic bile duct dilatation,815,196,30,169,35,61,103,316,61,0,15
Gallbladder,Distention,700,256,59,164,51,63,94,402,0,0,0
Gallbladder,Extrahepatic bile duct stone,183,60,14,37,19,0,19,116,9,493,12
Gallbladder,Extrahepatic bile duct wall thickening,129,11,6,22,0,0,15,28,6,0,0
Gallbladder,Gallbladder cancer,48,0,0,18,0,0,0,6,0,0,10
Gallbladder,Cholangiocarcinoma,40,7,0,12,0,0,0,10,0,0,2
Gallbladder,Pneumobilia,33,0,0,14,0,0,9,28,0,0,0
