frecuencia_hz,sensibilidad_total_ft,ruido_cp_vibracion_ft,ruido_cp_johnson_ft,ruido_cp_aire_ft,ruido_ncp_deteccion_ft,ruido_ncp_vibracion_ft
303.5,257.0585597030016,11.665893794501107,32.0,20.0,232.3373736189487,20.401188174725718
303.51,220.1340512596734,11.6651225421418,32.0,20.0,230.60308546402797,20.2475687003174
303.52,264.2581230728822,11.664351366346096,32.0,20.0,228.86874056315528,20.093964444221363
303.53,221.08728592577492,11.663580267103862,32.0,20.0,227.13433892544268,19.940375405229798
303.54,313.36471292085946,11.662809244404942,32.0,20.0,225.39988056026658,19.786801582158212
303.55,273.24503252738197,11.662038298239207,32.0,20.0,223.66536547734117,19.633242973851893
303.56,346.29195356681686,11.661267428596513,32.0,20.0,221.93079368664246,19.479699579179222
303.57,338.90074954052574,11.660496635466721,32.0,20.0,220.19616519847028,19.326171397037065
303.58,415.0630062250507,11.659725918839692,32.0,20.0,218.46148002345643,19.172658426351543
303.59,338.5718755236639,11.658955278705298,32.0,20.0,216.7267381725822,19.01916066607954
303.6,321.25015544511797,11.658184715053393,32.0,20.0,214.9919396571546,18.865678115206553
303.61,268.7702275249869,11.657414227873863,32.0,20.0,213.25708448890006,18.712210772755014
303.62,273.17046782529735,11.656643817156569,32.0,20.0,211.52217267988775,18.558758637777448
303.63,209.25874740649047,11.655873482891387,32.0,20.0,209.78720424259583,18.40532170936231
303.64,249.0124120813986,11.655103225068187,32.0,20.0,208.05217918992358,18.251899986635056
303.65,221.70649189437935,11.65433304367685,32.0,20.0,206.31709753521363,18.09849346876007
303.66,233.39161378839665,11.653562938707239,32.0,20.0,204.58195929223265,17.94510215493892
303.67,238.3160008387552,11.65279291014925,32.0,20.0,202.8467644752698,17.791726044419068
303.68,268.0169575355131,11.652022957992754,32.0,20.0,201.11151309906163,17.638365136487174
303.69,215.6917554760116,11.651253082227642,32.0,20.0,199.37620517888018,17.485019430476857
303.7,241.2705223873651,11.650483282843785,32.0,20.0,197.64084073053053,17.331688925768464
303.71,207.47937561032916,11.649713559831078,32.0,20.0,195.90541977037464,17.17837362179114
303.72,238.41611315422955,11.648943913179401,32.0,20.0,194.16994231535645,17.025073518024996
303.73,250.74722095703808,11.648174342878653,32.0,20.0,192.43440838306603,16.87178861400676
303.74,288.991960219949,11.647404848918717,32.0,20.0,190.69881799169235,16.718518909325564
303.75,288.0100344199077,11.646635431289488,32.0,20.0,188.9631711601152,16.56526440363102
303.76,270.18622970766086,11.64586608998086,32.0,20.0,187.2274679079116,16.412025096633755
303.77,191.06059114913154,11.645096824982724,32.0,20.0,185.49170825538823,16.258800988108224
303.78,150.12295686834997,11.644327636284984,32.0,20.0,183.75589222362495,16.10559207789652
303.79,119.25531693308984,11.64355852387753,32.0,20.0,182.020019834507,15.952398365911153
303.8,98.77848424174181,11.642789487750271,32.0,20.0,180.28409111077232,15.7992198521392
303.81,101.30942503622438,11.642020527893107,32.0,20.0,178.5481060760278,15.646056536643671
303.82,125.65176185473464,11.641251644295949,32.0,20.0,176.81206475482583,15.492908419570227
303.83,161.56168038760075,11.64048283694869,32.0,20.0,175.07596717267737,15.339775501148269
303.84,189.78682830796805,11.639714105841243,32.0,20.0,173.33981335612998,15.186657781697763
303.85,176.4709038275683,11.638945450963512,32.0,20.0,171.60360333279058,15.033555261631198
303.86,183.35390502277352,11.638176872305417,32.0,20.0,169.8673371314303,14.880467941462744
303.87,178.87958635757738,11.637408369856866,32.0,20.0,168.1310147819766,14.727395821807534
303.88,144.08696587361501,11.63663994360777,32.0,20.0,166.39463631562944,14.574338903391784
303.89,99.06178037483457,11.635871593548051,32.0,20.0,164.6582017648899,14.421297187055288
303.9,118.29380678911726,11.63510331966762,32.0,20.0,162.9217111636556,14.268270673759716
303.91,158.27149184492697,11.634335121956399,32.0,20.0,161.18516454728288,14.115259364594046
303.92,172.88483034590348,11.633567000404307,32.0,20.0,159.44856195269188,13.962263260783697
303.93,173.96744631663375,11.632798955001272,32.0,20.0,157.71190341840557,13.809282363693914
303.94,210.3463089704842,11.63203098573721,32.0,20.0,155.9751889846697,13.656316674840218
303.95,208.89752545067748,11.631263092602053,32.0,20.0,154.23841869355394,13.503366195897225
303.96,194.5831283465109,11.630495275585725,32.0,20.0,152.5015925890429,13.350430928706542
303.97,200.42492317302464,11.629727534678151,32.0,20.0,150.7647107171343,13.197510875285317
303.98,200.66328700588863,11.628959869869268,32.0,20.0,149.0277731260199,13.044606037842028
303.99,196.25440401483232,11.628192281149007,32.0,20.0,147.29077986612484,12.891716418779847
304.0,200.85430253728416,11.627424768507305,32.0,20.0,145.5537309902937,12.738842020712854
