frecuencia_hz,sensibilidad_min_ft,sensibilidad_mediana_ft
1.245,471559.01921385515,2610409.582114002
1.745,516176.09729472816,1008611.2910387581
2.245,453773.4561158835,1319939.3143536642
2.745,919149.7147575641,1480651.7273117378
3.245,1472904.648995058,4182724.486150331
3.745,1765475.9761225553,4322701.910285938
4.245,848127.8781846947,1983528.2352239792
4.745,264177.231668522,1641416.0514969686
5.245,292990.4610824404,577423.0655771587
5.745,259849.79933137054,631121.0811614874
6.245,257558.72061963018,465540.12071582256
6.745,155850.3290202891,377802.33225518814
7.245,150240.3117058023,445848.1730310364
7.745,301434.87189477816,709813.5965110603
8.245,254598.7933497043,483717.0040602146
8.745,242471.56875645422,404854.65789145697
9.245,275022.00019698025,488166.48543471633
9.745,341396.5851135611,582888.7919955391
10.245,518589.4390469173,1120989.141496934
10.745,279955.8290850844,882377.2460538294
11.245,427253.39137066493,1109670.456287716
11.745,493832.89346093225,1028706.3141143126
12.245,193341.88263920322,401601.7729737216
12.745,155931.17284963862,314259.1428938749
13.245,147492.58191623606,251489.98189060023
13.745,75438.24018707575,151618.84087313642
14.245,122631.27383107688,266870.1396752355
14.745,141630.67606394796,231906.18905503693
15.245,169322.38545087527,349609.0205771298
15.745,216506.69544617285,505686.3214464451
16.245,126887.19883778655,235329.25931694568
16.745,234355.6778079733,375575.51934700634
17.245,227208.50288684765,769405.0985488072
17.745,380585.7206597115,888334.6427720399
18.245,268035.97934990836,559719.3954940098
18.745,233422.14637403854,373426.922117223
19.245,173869.3244017727,289592.1571827233
19.745,114057.57371621027,247625.99427319434
20.245,145849.13024409037,243877.25434317943
20.745,150107.2965041366,273449.8709754237
21.245,99225.62356596143,160461.10727048054
21.745,115347.59208287725,209956.08460490708
22.245,185777.0421491997,524371.6635668852
22.745,302038.6605664951,578546.8624882413
23.245,185129.7184405068,475011.87177645444
23.745,214472.28739427892,531020.2380770913
24.245,85191.9788256031,159162.83368666234
24.745,94391.06104910649,200269.42130258775
25.245,77194.45485671691,127612.78250318207
25.745,77601.86753075277,297345.1712970807
26.245,222289.2693051753,469141.9002583304
26.745,243606.77851855743,366306.8446451963
27.245,80889.58043623532,245068.14033589268
27.745,57421.278677204355,108250.16813319338
28.245,64741.058237144345,92415.69831417646
28.745,41487.05678995978,104841.57782982034
29.245,95962.2259454138,220204.4148581075
29.745,97944.78400876852,198734.58347579
30.245,145863.85771686633,393977.4888880865
30.745,190520.10837370678,372324.2228458304
31.245,83228.17652992696,152908.1513266787
31.745,62219.82211344679,133531.88576312136
32.245,45925.95346328428,78417.09953747335
32.745,72406.23874894677,123723.7892402749
33.245,64698.31017176866,112478.30040210075
33.745,85527.00556976024,191131.97123412712
34.245,85854.47425194283,138613.75930895613
34.745,53627.75512707114,89366.33775637408
35.245,42995.309800391406,68969.77404200217
35.745,23577.254078396814,51898.74535591928
36.245,30800.56098862221,64076.353823113226
36.745,36760.003928056256,75397.71640922005
37.245,57165.61561674712,118145.27405347757
37.745,49151.765873714925,84444.07766081771
38.245,40750.25192811141,90861.09093043252
38.745,31376.617767841413,69681.0269875089
39.245,64652.730256368,108249.2709724211
39.745,57270.38282239444,118911.33525630181
40.245,77292.47006297183,137555.7387998987
40.745,71281.39431418719,110342.37921831605
41.245,61115.834728859576,85288.07342454717
41.745,37818.7755693015,67780.8106005273
42.245,41836.21419534002,68548.05138536655
42.745,41689.07894884858,70165.50379127436
43.245,33634.671557981885,84892.70299031732
43.745,79113.56732751394,109623.68087222712
44.245,74024.96548804932,127743.66559268779
44.745,45357.273727288426,94421.42774783808
45.245,39293.82471729961,61416.8562871617
45.745,46673.72863678075,88151.85134865878
46.245,79755.36868454318,164493.84254279835
46.745,112806.63697257228,184540.64381451719
47.245,134853.13531730385,267561.024803067
47.745,110125.96817798563,182110.23312333162
48.245,62937.218888778836,132523.30521585132
48.745,44895.394548397715,76407.70932210525
49.245,42305.06230092677,92200.65128496794
49.745,69225.69397611654,105286.46112672909
50.245,41449.833990034,80457.33977214081
50.745,36508.320107329106,66916.67129480168
51.245,39729.125499331734,62560.74536288127
51.745,31635.800189323843,47550.07979999148
52.245,20329.605370807218,44613.48195939802
52.745,32943.93067553218,54003.85796471314
53.245,40181.726037442684,68543.25395609831
53.745,53144.43428399265,99141.29081106528
54.245,97360.04077171134,145390.25612122094
54.745,58875.44923957814,102417.75115491268
55.245,56442.211285840276,110864.95685926973
55.745,29045.910808531436,52983.39584450809
56.245,21748.209057164513,46954.00827018374
56.745,22206.677887808044,41134.44724011719
57.245,20753.594753030142,36592.46267035777
57.745,26362.355262226796,39695.2106427794
58.245,26549.470296571257,42080.37167661213
58.745,17202.22493197555,33380.577831395974
59.245,22372.98052933533,30052.559289425757
59.745,12400.646824708736,27944.40262407393
60.245,17116.809211053846,27584.611850560603
60.745,19247.13436056478,32090.86738372263
61.245,17048.472043650952,34215.17696145766
61.745,18346.73424065019,37280.132551313414
62.245,22202.262529406402,41186.96499432294
62.745,21314.99042287911,29162.082617537948
63.245,14488.253592781928,25226.51474809095
63.745,13633.445071498061,26616.91744390638
64.245,21428.205241787917,32234.27125289551
64.745,19472.216577703824,33086.51804226953
65.245,18626.760870286616,33659.00768884772
65.745,18956.336213058697,29897.99875602766
66.245,24711.509537727983,36286.49664118998
66.745,17354.448589617317,26942.187221681168
67.245,17226.750576614504,26079.335996247988
67.745,12974.387690995909,20459.490708049525
68.245,15748.789189074681,21917.038534971893
68.745,13030.253601390797,25187.907100245728
69.245,13667.834382386673,25059.137235846014
