frecuencia_hz,amplitud_v,error_v
110.0,1.3146453147681347e-06,5.4010644191208594e-08
301.0,4.6610450352919754e-05,8.490299267194909e-07
304.0,0.0007025123228597034,8.673626010086511e-06
304.23,0.0040880659402284195,2.1669292198843523e-05
304.25,0.009750278683975162,3.996093367086536e-05
304.27,0.010304570465919287,2.432740086495264e-05
304.29,0.005680772100496978,1.5116967930278696e-05
304.32,0.003206513651772125,2.2231373283673958e-05
304.37,0.0016778942424309487,5.961250729432559e-06
304.47,0.0008546867102257494,4.980739309282387e-06
304.8,0.00032359597300024204,7.628001469431982e-06
305.75,0.00011689824774213034,1.7181647231799975e-07
308.0,4.694344705001109e-05,3.2204681389151354e-07
