iso3,pais,continente,tasa_cooperacion,creencia_cooperacion,brecha_percepcion,norma_social,altruismo_z,riesgo_z,paciencia_z
USA,United States,América,0.81136940016018,0.4414102921399795,0.3699591080202005,0.831825987137225,-0.5020353183238737,0.2076421184409441,0.3321674209109035
EGY,Egypt,África,0.2783072816873743,0.3411370894536466,-0.06282980776627234,0.677328590171155,-0.2634246997458959,-0.5830730320643212,-0.5887330282441
MAR,Morocco,África,0.6612973478634259,0.4174035217820629,0.24389382608136295,0.8697573198423809,0.3838378856151143,-0.0686959694027125,-0.0902970038482359
LBN,Lebanon,Asia,0.6871242547193126,0.461022139154395,0.2261021155649176,0.7738161135023425,0.5229389787891545,-0.2671852203460264,-0.5256455309210978
SAU,Saudi Arabia,Asia,0.6945566237917628,0.5375346814188217,0.1570219423729411,0.8787647267055916,0.0142735130125543,0.0930000601723491,-0.0996113896991588
JOR,Jordan,Asia,0.6673644738729537,0.3344048130485729,0.33295966082438083,0.7958400936862083,0.3285955759702129,-0.1356837577919385,-0.431608343155684
TUR,Turkey,Asia,0.8162657418018442,0.4660977104543573,0.3501680313474869,0.8421812776589335,0.1275636662062938,0.2287242673803505,-0.1608033178487631
PAK,Pakistan,Asia,0.635222828178482,0.3812501424351637,0.25397268574331827,0.8464758111964668,-0.5500365930158658,-0.8488203969922004,0.0952801562537858
IDN,Indonesia,Asia,0.6200980280407868,0.3970376379057539,0.22306039013503293,0.8661344160176592,-0.216851949651599,-0.3176373056538369,-0.5045521393538152
BGD,Bangladesh,Asia,0.7853934834438666,0.5304462212522227,0.2549472621916439,0.9038997546235518,0.3208013148056071,-0.0369097079396914,-0.180303748360838
GBR,United Kingdom,Europa,0.7970052420263649,0.4481121821328629,0.348893059893502,0.8946304601385953,-0.3925641628701232,-0.1048363570967799,0.3970128377607299
FRA,France,Europa,0.7729230901547904,0.4379873758416602,0.33493571431313024,0.8513280345328337,-0.063150867785372,-0.175313706507192,0.5726012266711716
DEU,Germany,Europa,0.8596327553973387,0.4760985562477434,0.38353419914959536,0.9176066632053044,-0.3284607603585568,-0.0111172700009107,0.4907761822545627
