continente,n_paises,tasa_cooperacion,creencia_cooperacion,brecha_percepcion
Oceanía,2,0.841914994873318,0.520249787030281,0.321665207843037
Europa,38,0.8190394238242443,0.45892452963281155,0.3601148941914328
América,21,0.757219752362109,0.45656846685262853,0.30065128550948045
Asia,35,0.7046741591335837,0.4691036283485287,0.23557053078505494
África,29,0.6040456801763197,0.4008410482777486,0.20320463189857096
