temp,genotype,pollen_viability
25C,WT,1.0
25C,WT,0.991
25C,WT,0.984
25C,WT,1.0
25C,WT,1.0
25C,WT,1.0
12C,WT,0.885075
12C,WT,0.963636
12C,WT,0.875981
12C,WT,0.887179
12C,WT,0.891176
12C,WT,0.933333
25C,Slrgf9,1.0
25C,Slrgf9,1.0
25C,Slrgf9,1.0
25C,Slrgf9,1.0
25C,Slrgf9,0.993243
25C,Slrgf9,1.0
12C,Slrgf9,0.929134
12C,Slrgf9,0.899083
12C,Slrgf9,0.738095
12C,Slrgf9,0.886792
12C,Slrgf9,0.767442
12C,Slrgf9,0.788889
25C,Slrgf10,0.984
25C,Slrgf10,0.945
25C,Slrgf10,1.0
25C,Slrgf10,1.0
25C,Slrgf10,1.0
25C,Slrgf10,0.973684
12C,Slrgf10,0.727273
12C,Slrgf10,0.73913
12C,Slrgf10,0.787879
12C,Slrgf10,0.931034
12C,Slrgf10,0.866667
12C,Slrgf10,0.861111
25C,Slrgf9_Slrgf10,1.0
25C,Slrgf9_Slrgf10,0.986486
25C,Slrgf9_Slrgf10,0.993289
25C,Slrgf9_Slrgf10,0.984733
25C,Slrgf9_Slrgf10,0.93985
25C,Slrgf9_Slrgf10,0.985915
12C,Slrgf9_Slrgf10,0.323529
12C,Slrgf9_Slrgf10,0.421875
12C,Slrgf9_Slrgf10,0.368421
12C,Slrgf9_Slrgf10,0.372549
12C,Slrgf9_Slrgf10,0.466667
12C,Slrgf9_Slrgf10,0.604651
