pais,tratamiento,efecto_ops_sin_controles,se_sin_controles,p_sin_controles,efecto_ops_con_controles,se_con_controles,p_con_controles,efecto_proficiencia_con_controles,se_proficiencia,p_proficiencia,n_observaciones,media_control_ops,media_control_proficiencia
India,Llamada + SMS,0.22,0.092,0.017,0.21,0.087,0.016,0.113,0.035,0.001,708,2.72,0.328
Kenia,Solo SMS,-0.027,0.053,0.606,-0.024,0.053,0.642,-0.003,0.031,0.916,1985,1.42,0.623
Kenia,Llamada + SMS,0.114,0.051,0.025,0.092,0.044,0.039,0.059,0.025,0.02,1985,1.42,0.623
Nepal,Solo SMS,0.062,0.086,0.472,0.042,0.076,0.578,0.003,0.02,0.887,2678,1.689,0.21
Nepal,Llamada + SMS,0.173,0.081,0.034,0.147,0.073,0.045,0.031,0.019,0.109,2678,1.689,0.21
Filipinas,Solo SMS,0.104,0.063,0.1,0.061,0.061,0.318,0.024,0.01,0.019,2469,1.388,0.03
Filipinas,Llamada + SMS,0.561,0.067,0.0,0.56,0.063,0.0,0.13,0.014,0.0,2469,1.388,0.03
Uganda,Solo SMS,0.278,0.077,0.0,0.289,0.076,0.0,0.019,0.022,0.376,1308,1.803,0.093
Uganda,Llamada + SMS,1.193,0.073,0.0,1.196,0.071,0.0,0.343,0.026,0.0,1308,1.803,0.093
