pais,tamano_muestra,muestra_endline,grados,unidad_aleatorizacion,fechas,semanas_implementacion,implementador,entrega_gobierno,brazo_llamada_sms,brazo_solo_sms,unidades_administrativas
India,850,765,3–5,Hogar,Abr 2021–Jul 2021,8,NGO (Alokit),No,Sí,No,1 estado
Kenia,6724,3556,1–2,Conglomerado escuela-grado,Dic 2020–Abr 2021,8–12,ONG alianza público-privada (NewGlobe),No,Sí,Sí,30 condados
Nepal,3732,3351,3–5,Hogar,Ene 2021–Jul 2021,8,"Gobierno (Ministerio de Educación), Banco Mundial, ONG",Sí,Sí,Sí,Las 7 provincias
Filipinas,3492,3164,3–4,ONG: hogar; gobierno: conglomerado escuela-grado,Ago 2021–Jul 2022,8,"Gobierno (Departamento de Educación), ONG de investigación",Sí,Sí,Sí,3 regiones
Uganda,2138,1495,3–5,Hogar,Oct 2021–Ene 2022,8,ONG (Building Tomorrow),No,Sí,Sí,9 distritos
