organo,tecnologia,sexo,horas_optimo,gap_minimo,gap_4h,gap_10h,penalizacion_4h,penalizacion_10h,curva_U_interior
Adipose,MRI,female,6.91,0.5312,0.542,0.5448,0.0108,0.0136,True
Adipose,MRI,male,6.91,0.527,0.5546,0.5596,0.0276,0.0326,True
Brain,MRI,female,6.48,0.3294,0.3361,0.3484,0.0068,0.019,True
Brain,MRI,male,6.42,0.3396,0.3464,0.3605,0.0068,0.0209,True
Brain,Prot,female,7.82,0.5117,0.5276,0.5354,0.0159,0.0236,True
Brain,Prot,male,7.7,0.483,0.517,0.5126,0.0341,0.0296,True
Digestive,Met,female,4.0,-1.0837,-1.0837,-1.0798,0.0,0.0039,False
Digestive,Met,male,6.3,-1.0782,-1.0667,-1.0749,0.0115,0.0033,True
Endocrine,Met,female,6.67,0.366,0.3671,0.3732,0.0012,0.0072,True
Endocrine,Met,male,6.06,0.3454,0.3515,0.3535,0.0062,0.0082,True
Endocrine,Prot,female,7.76,0.4649,0.4782,0.4722,0.0133,0.0073,True
Endocrine,Prot,male,7.27,0.4149,0.4504,0.4293,0.0355,0.0144,True
Eye,Prot,female,4.0,0.3872,0.3872,0.3922,0.0,0.005,False
Eye,Prot,male,5.64,0.3825,0.3853,0.3874,0.0028,0.0049,True
Heart,MRI,female,10.0,0.5315,0.5327,0.5315,0.0012,0.0,False
Heart,MRI,male,7.58,0.5097,0.5152,0.5116,0.0055,0.0019,True
Heart,Prot,female,7.03,0.3953,0.3966,0.3965,0.0013,0.0012,True
Heart,Prot,male,6.97,0.3789,0.4007,0.4025,0.0218,0.0236,True
Hepatic,Met,female,10.0,0.5383,0.5408,0.5383,0.0026,0.0,False
Hepatic,Met,male,10.0,0.5366,0.5402,0.5366,0.0036,0.0,False
Hepatic,Prot,female,7.52,0.4969,0.5042,0.5075,0.0072,0.0106,True
Hepatic,Prot,male,7.7,0.4959,0.5127,0.5081,0.0168,0.0122,True
Immune,Met,female,4.85,0.4038,0.4039,0.4064,0.0,0.0025,True
Immune,Met,male,10.0,0.4027,0.4043,0.4027,0.0016,0.0,False
Immune,Prot,female,7.76,0.4319,0.4412,0.4449,0.0092,0.013,True
Immune,Prot,male,7.58,0.4316,0.4444,0.4475,0.0128,0.0159,True
Kidney,MRI,female,6.61,0.5805,0.5837,0.5877,0.0032,0.0072,True
Kidney,MRI,male,6.91,0.5799,0.5904,0.5923,0.0105,0.0124,True
Liver,MRI,female,6.12,0.5591,0.5639,0.5665,0.0047,0.0074,True
Liver,MRI,male,5.58,0.5629,0.5651,0.5723,0.0022,0.0094,True
Metabolic,Met,female,4.0,0.4647,0.4647,0.468,0.0,0.0033,False
Metabolic,Met,male,6.12,0.4664,0.4757,0.4727,0.0092,0.0063,True
Pancreas,MRI,female,6.85,0.4515,0.4655,0.4698,0.014,0.0183,True
Pancreas,MRI,male,6.79,0.4394,0.4521,0.4593,0.0126,0.0199,True
Pulmonary,Prot,female,7.64,0.4517,0.4613,0.4639,0.0097,0.0123,True
Pulmonary,Prot,male,7.03,0.4499,0.4779,0.477,0.028,0.0271,True
Renal,Prot,female,8.12,0.5014,0.5045,0.5085,0.0031,0.007,True
Renal,Prot,male,4.0,0.5009,0.5009,0.5047,0.0,0.0039,False
Reproductive_female,Prot,female,8.06,0.4564,0.4659,0.4629,0.0095,0.0065,True
Reproductive_female,Prot,male,7.64,0.4199,0.4408,0.4331,0.0209,0.0132,True
Reproductive_male,Prot,female,6.85,0.4018,0.407,0.4085,0.0053,0.0067,True
Reproductive_male,Prot,male,6.55,0.4037,0.4154,0.4303,0.0117,0.0266,True
Skin,Prot,female,7.7,0.4728,0.4858,0.4816,0.013,0.0088,True
Skin,Prot,male,7.39,0.4656,0.4751,0.4768,0.0095,0.0112,True
Spleen,MRI,female,6.42,0.5767,0.5782,0.5811,0.0015,0.0044,True
Spleen,MRI,male,10.0,0.5827,0.5851,0.5827,0.0024,0.0,False
