organo,tecnologia,sexo,horas_sueno,edad_biol_gap,gap_ci_inferior,gap_ci_superior
Adipose,MRI,female,4.0,0.54196223837386,0.534559434909732,0.549365041837988
Adipose,MRI,female,4.06060606060606,0.541621227903916,0.534430541024811,0.54881191478302
Adipose,MRI,female,4.12121212121212,0.541280519139241,0.534301438130859,0.548259600147624
Adipose,MRI,female,4.18181818181818,0.540940413785109,0.534172263627752,0.547708563942466
Adipose,MRI,female,4.24242424242424,0.54060121354679,0.534043153456538,0.547159273637042
Adipose,MRI,female,4.3030303030303,0.540263220129554,0.533914241959354,0.546612198299754
Adipose,MRI,female,4.36363636363636,0.539926735238673,0.533785661719396,0.54606780875795
Adipose,MRI,female,4.42424242424242,0.539592060579417,0.533657543378193,0.545526577780641
Adipose,MRI,female,4.48484848484848,0.539259497857058,0.533530015427037,0.544988980287079
Adipose,MRI,female,4.54545454545454,0.538929348776866,0.533403203969,0.544455493584732
Adipose,MRI,female,4.60606060606061,0.538601915044112,0.533277232447495,0.543926597640729
Adipose,MRI,female,4.66666666666667,0.538277498364068,0.533152221336848,0.543402775391287
Adipose,MRI,female,4.72727272727273,0.537956400442004,0.533028287789849,0.542884513094159
Adipose,MRI,female,4.78787878787879,0.53763892298319,0.532905545236789,0.542372300729592
Adipose,MRI,female,4.84848484848485,0.537325367692899,0.532784102930104,0.541866632455694
Adipose,MRI,female,4.90909090909091,0.537016036276401,0.532664065428518,0.541368007124284
Adipose,MRI,female,4.96969696969697,0.536711230438966,0.532545532014698,0.540876928863234
Adipose,MRI,female,5.03030303030303,0.536411251885866,0.532428596041026,0.540393907730706
Adipose,MRI,female,5.09090909090909,0.536116402322372,0.5323133441995,0.539919460445244
Adipose,MRI,female,5.15151515151515,0.535826983453754,0.532199855714467,0.539454111193041
Adipose,MRI,female,5.21212121212121,0.535543296985284,0.532088201461442,0.538998392509126
Adipose,MRI,female,5.27272727272727,0.535265644622232,0.531978443022616,0.538552846221848
